county,state,date_local,PM2.5,O3,SO2,NO2,CO
Montgomery,Pennsylvania,2020-04-15,4.7141665999999995,0.04295425000000008,,,
Montgomery,Pennsylvania,2020-04-16,5.408333400000002,0.05499999999999998,,,
Montgomery,Pennsylvania,2020-04-17,6.41391299999999,,,,
Montgomery,Pennsylvania,2020-04-18,6.915833399999998,,,,
Montgomery,Pennsylvania,2020-04-19,7.419166600000007,0.04253399999999994,,,
Montgomery,Pennsylvania,2020-04-20,5.102222200000013,0.03450499999999991,,,
Montgomery,Pennsylvania,2020-04-21,6.504999999999996,0.03649874999999993,,,
Montgomery,Pennsylvania,2020-04-22,3.212499999999999,0.037552999999999954,,,
Montgomery,Pennsylvania,2020-04-23,5.613333399999991,0.033110999999999925,,,
Montgomery,Pennsylvania,2020-04-24,3.4075000000000055,0.024078250000000037,,,
Montgomery,Pennsylvania,2020-04-25,5.714999999999992,0.03808275000000005,,,
Montgomery,Pennsylvania,2020-04-26,3.705,0.0377535,,,
Montgomery,Pennsylvania,2020-04-27,3.005833399999996,0.03554600000000005,,,
Montgomery,Pennsylvania,2020-04-28,4.515833400000006,0.03606575000000002,,,
Montgomery,Pennsylvania,2020-04-29,6.005833400000015,0.03989699999999994,,,
Montgomery,Pennsylvania,2020-04-30,6.108333399999993,0.04117924999999992,,,
Fulton,Georgia,2020-04-01,,0.03358900000000006,0.36562500000000075,8.491667000000005,0.3333334999999995
Fulton,Georgia,2020-04-02,,0.03446624999999995,0.48645849999999946,16.8125,0.4083334999999998
Fulton,Georgia,2020-04-03,7.549999999999989,0.03411974999999993,0.5690992500000006,25.420832999999995,0.47083299999999945
Fulton,Georgia,2020-04-04,,0.033365499999999965,0.5958334999999991,20.879167000000038,0.5041664999999987
Fulton,Georgia,2020-04-05,,0.03656350000000008,0.7010415000000011,15.423810000000001,0.5706350000000011
Fulton,Georgia,2020-04-06,15.349999999999977,0.03763400000000006,0.5733767500000009,18.466666999999973,0.5291665000000007
Fulton,Georgia,2020-04-07,,0.031646499999999946,0.515625,16.34166699999998,0.524999999999999
Fulton,Georgia,2020-04-08,,0.024359000000000016,0.4197915000000002,13.370832999999969,0.5145835000000004
Fulton,Georgia,2020-04-09,7.000000000000001,0.03940825000000006,0.3708335000000005,13.32916700000002,0.3916669999999989
Fulton,Georgia,2020-04-10,,0.04184924999999997,0.48229150000000054,9.308332999999976,0.2916670000000003
Fulton,Georgia,2020-04-11,,0.036073500000000064,0.6726707500000008,15.3125,0.48125000000000073
Fulton,Georgia,2020-04-12,16.999999999999996,0.023780749999999972,0.5145835000000004,5.838094999999997,0.504365
Fulton,Georgia,2020-04-13,,0.03553775000000003,0.3474743333333333,10.820832999999995,0.4375
Fulton,Georgia,2020-04-14,,0.034498750000000016,0.37291650000000004,11.237499999999978,0.4020835000000007
Fulton,Georgia,2020-04-15,4.449999999999992,0.0431965,0.37708349999999996,11.662499999999998,0.3604164999999997
Fulton,Georgia,2020-04-16,,0.03526950000000004,0.5604165000000008,17.95416700000004,0.41041700000000036
Fulton,Georgia,2020-04-17,,0.03567449999999994,0.6020834999999992,18.974999999999962,0.633333
Fulton,Georgia,2020-04-18,6.799999999999993,0.033618750000000024,0.5697915000000008,10.033332999999995,0.4187500000000004
Fulton,Georgia,2020-04-19,,0.018287750000000033,0.49791650000000054,10.45238099999998,0.4777780000000006
Fulton,Georgia,2020-04-20,,0.02813474999999999,0.5720777499999987,14.245832999999967,0.4895835000000003
Fulton,Georgia,2020-04-21,7.5,0.03432350000000006,0.5,18.416666999999975,0.4958335000000012
Fulton,Georgia,2020-04-22,,0.03574749999999993,0.5854165000000005,25.21250000000005,0.5291665000000007
Fulton,Georgia,2020-04-23,,0.03198724999999993,0.4104164999999992,16.479166999999975,0.556249999999999
Fulton,Georgia,2020-04-24,5.0,0.024353250000000014,0.4895835000000003,14.450000000000026,0.568750000000001
Fulton,Georgia,2020-04-25,,0.03393625,0.5291665000000007,13.741667000000005,0.5708334999999992
Fulton,Georgia,2020-04-26,,0.04006825000000002,0.48645849999999946,4.652380999999995,0.3507940000000003
Fulton,Georgia,2020-04-27,5.149999999999991,0.03412250000000005,0.7194805000000016,14.890000000000027,0.42499999999999954
Fulton,Georgia,2020-04-28,,0.031974749999999955,0.8197914999999991,26.14583300000003,0.6812499999999997
Fulton,Georgia,2020-04-29,,0.034376500000000025,0.5812499999999989,18.787499999999966,0.5770830000000013
Fulton,Georgia,2020-04-30,4.3999999999999915,0.025425999999999963,0.49479149999999966,16.70000000000003,0.5333334999999993
Fulton,Georgia,2020-05-01,,0.03501600000000006,0.6656249999999996,19.170832999999956,0.5333329999999994
Fulton,Georgia,2020-05-02,,0.04094475000000001,0.6906249999999986,20.745832999999962,0.6395830000000012
Fulton,Georgia,2020-05-03,,0.044516750000000015,0.7000000000000014,11.928570999999996,0.5841270000000008
Fulton,Georgia,2020-05-04,,0.039448750000000025,0.7032465000000001,18.383332999999997,0.5666664999999985
Fulton,Georgia,2020-05-05,,0.036992000000000046,0.6010415000000008,14.012500000000026,0.5666664999999985
