date_local,PM2.5,O3,NO2,CO
2020-04-30,,0.025000000000000005,,
2020-05-01,4.6133334,0.031622,3.765217,0.26002400000000003
2020-05-02,2.0083334,0.02448575,1.334783,0.20217400000000002
2020-05-03,2.9116665999999998,0.03706424999999999,1.817391,0.2
2020-05-04,4.3066666,0.03996375,5.913043,0.2405795
2020-05-05,3.8052174,0.031040750000000002,3.772727,0.2539775
2020-05-06,5.8066666,0.0341905,5.743478,0.2809785
2020-05-07,6.815,0.03243775,7.943478,0.327536
2020-05-08,10.516666599999999,0.031643,6.708696,0.30842400000000003
2020-05-09,8.113333399999998,0.0317065,2.395652,0.2636775
2020-05-10,6.7016666,0.035347,1.204348,0.20217400000000002
2020-05-11,3.815,0.03197475,2.652174,0.22971000000000003
2020-05-12,3.2016666000000003,0.03410925,1.882609,0.231975
2020-05-13,3.2183334,0.022549,2.852174,0.234058
2020-05-14,1.5043478000000001,0.02282775,2.404348,0.2658515
2020-05-15,2.5083334,0.034109,2.695652,0.26567050000000003
2020-05-16,1.315,0.02085875,1.630435,0.20634049999999998
2020-05-17,1.3066666000000002,0.03024875,0.33913,0.204348
2020-05-18,2.3008696,0.02807275,2.0,0.208889
2020-05-19,3.105,0.03082225,3.23913,0.2188405
2020-05-20,3.0083334,0.0263925,2.365217,0.19166650000000002
2020-05-21,4.4116666,0.0275655,3.526087,0.20217400000000002
2020-05-22,4.8066666,0.029332,3.456522,0.2
2020-05-23,4.71,0.0288425,3.686957,0.180888
2020-05-24,5.8066666,0.027927749999999998,3.378261,0.20652150000000002
2020-05-25,7.903333399999999,0.026869999999999998,5.204348,0.2550725
2020-05-26,9.605,0.023678,6.430435,0.2660325
2020-05-27,9.0,0.02416475,5.2,0.2634965
2020-05-28,4.218333400000001,0.025193000000000004,4.043478,0.2
2020-05-29,3.3095652,0.02528025,2.213043,0.2
2020-05-30,7.016666599999999,0.024724000000000003,1.343478,0.1934785
2020-05-31,2.5,0.0261865,1.621739,0.2
