date_local,PM2.5,PM10,O3,CO
2020-04-01,6.5144926666666665,28.782609,0.047196,0.29
2020-04-02,8.806944333333334,45.708333,0.04268325,
2020-04-03,9.502777666666667,27.791667,0.0448195,
2020-04-04,8.920833333333333,28.458333,0.0420495,
2020-04-05,4.922222333333334,15.083333,0.03499675,
2020-04-06,1.6152776666666666,14.458333,0.030311,
2020-04-07,1.526389,6.666667,0.0281145,
2020-04-08,1.4291666666666665,4.083333,0.03237525,
2020-04-09,2.0236110000000003,4.916667,0.032158000000000006,
2020-04-10,1.5305556666666666,3.708333,0.0337975,
2020-04-11,3.706944333333333,7.125,0.0381445,
2020-04-12,4.308333333333333,15.625,0.032802750000000006,
2020-04-13,3.408333333333333,13.541667,0.034051,
2020-04-14,4.871259000000001,13.608696,0.04101425,
2020-04-15,3.4727273636363636,16.541667,0.044143999999999996,
2020-04-16,4.395454454545455,23.166667,0.0478745,
2020-04-17,4.551515181818183,21.041667,0.0438785,
2020-04-18,4.6606060000000005,18.208333,0.03629225,
2020-04-19,4.9666666363636365,14.791667,0.03835275,
2020-04-20,6.606060636363636,27.791667,0.041596,
2020-04-21,6.357575818181818,22.958333,0.04101225000000001,
2020-04-22,5.162121181818183,19.416667,0.044115,
2020-04-23,6.562878818181819,26.458333,0.044373,
2020-04-24,4.998484818181818,23.041667,0.04295375,
2020-04-25,4.650757545454546,25.958333,0.04520125,
2020-04-26,4.187878818181819,23.041667,0.043635999999999994,
2020-04-27,6.587878727272726,26.916667,0.04751875,
2020-04-28,6.840316272727272,36.73913,0.047304750000000007,
2020-04-29,8.499242363636363,41.333333,0.04836875,
2020-04-30,7.60151509090909,41.0,0.0476365,
2020-05-01,8.91439390909091,34.666667,0.050918000000000005,
2020-05-02,8.634848454545454,45.458333,0.0543535,
2020-05-03,8.2,31.458333,0.04952525,
2020-05-04,6.84366390909091,25.409091,0.04443625,
2020-05-05,5.959090909090909,26.875,0.04994225000000001,
2020-05-06,7.646212181818182,34.625,0.06001624999999999,
2020-05-07,7.2015151818181815,35.875,0.059708,
2020-05-08,8.406060545454546,41.5,0.05703975,
2020-05-09,8.825000000000001,38.375,0.056166,
2020-05-10,10.417424181818182,40.541667,0.046986,
2020-05-11,7.9060606363636365,44.916667,0.053964,
2020-05-12,5.898484909090908,26.541667,0.042985,
2020-05-13,5.469104090909091,37.391304,0.0447495,
2020-05-14,7.219697,30.875,0.046928750000000005,
2020-05-15,7.530467636363635,27.333333,0.0425885,
2020-05-16,8.738636454545455,33.541667,0.0484075,
2020-05-17,8.650757636363638,30.625,0.04161525,
2020-05-18,5.500658818181818,25.26087,0.0379205,
2020-05-19,5.361363727272729,24.333333,0.045940499999999995,
2020-05-20,5.447727272727272,18.541667,0.0468095,
2020-05-21,5.5484848181818185,23.708333,0.0515105,
2020-05-22,7.1886363636363635,31.458333,0.05871875000000001,
2020-05-23,10.521969727272726,36.375,0.047706,
2020-05-24,8.107575818181818,27.041667,0.040926,
2020-05-25,6.612121181818183,21.916667,0.04174125,
2020-05-26,6.469047714285714,26.208333,0.047904999999999996,
2020-05-27,7.745238142857143,41.125,0.055173,
2020-05-28,8.975757545454545,45.0,0.05337,
2020-05-29,7.018181909090908,41.041667,0.0479665,
2020-05-30,4.888636454545455,33.291667,0.053445,
2020-05-31,4.08560609090909,20.416667,0.052583750000000005,
