date_local,O3
2020-04-01,0.039593249999999997
2020-04-02,0.035864749999999994
2020-04-03,0.04334274999999999
2020-04-04,0.035783499999999996
2020-04-05,0.03429175
2020-04-06,0.03617575
2020-04-07,0.042787
2020-04-08,0.03983575
2020-04-09,0.042683500000000006
2020-04-10,0.03665475
2020-04-11,0.038512250000000005
2020-04-12,0.0479575
2020-04-13,0.044556
2020-04-14,0.04097975
2020-04-15,0.042640000000000004
2020-04-16,0.0415655
2020-04-17,0.04555675
2020-04-18,0.0472815
2020-04-19,0.047413250000000004
2020-04-20,0.03934875
2020-04-21,0.04007175
2020-04-22,0.04061975
2020-04-23,0.0451635
2020-04-24,0.045420249999999995
2020-04-25,0.0465715
2020-04-26,0.043865999999999995
2020-04-27,0.043813500000000005
2020-04-28,0.037414
2020-04-29,0.03458975
2020-04-30,0.037533
