date_local,PM2.5
2020-04-01,4.55314011111111
2020-04-02,9.912963000000001
2020-04-03,23.12083333333333
2020-04-04,26.127777777777776
2020-04-05,22.441203666666667
2020-04-06,18.52685188888889
2020-04-07,21.807407444444447
2020-04-08,10.81435188888889
2020-04-09,12.39326923076923
2020-04-10,6.43935188888889
2020-04-11,10.060648111111114
2020-04-12,16.225463
2020-04-13,9.958333333333334
2020-04-14,10.866203666666669
2020-04-15,9.861574111111112
2020-04-16,5.685648111111111
2020-04-17,10.710185222222224
2020-04-18,9.495833333333334
2020-04-19,5.460185222222223
2020-04-20,3.0069444444444446
2020-04-21,6.631944444444445
2020-04-22,6.3004831111111095
2020-04-23,5.224537
2020-04-24,5.113782076923077
2020-04-25,9.363888888888887
2020-04-26,4.493518555555556
2020-04-27,7.783333333333333
2020-04-28,16.883333333333333
2020-04-29,11.910144888888887
2020-04-30,4.472435923076923
2020-05-01,6.909166600000001
2020-05-02,13.2066666
2020-05-03,12.6191666
2020-05-04,12.2191666
2020-05-05,14.7133334
2020-05-06,6.8017392
2020-05-07,12.2066666
2020-05-08,32.4166666
2020-05-09,5.215000000000001
2020-05-10,7.9191666
2020-05-11,7.7108334
2020-05-12,7.211666600000001
2020-05-13,8.0175
2020-05-14,6.9183334
2020-05-15,8.2183334
2020-05-16,9.11
2020-05-17,7.5091666
2020-05-18,7.3075
2020-05-19,9.9025
2020-05-20,7.1141666
2020-05-21,8.416666600000001
2020-05-22,8.1141666
2020-05-23,8.7091666
2020-05-24,9.61
2020-05-25,7.2066666
2020-05-26,5.8158334
2020-05-27,6.1033333999999995
2020-05-28,6.2016666
2020-05-29,7.216666600000001
2020-05-30,12.6191666
2020-05-31,10.41
