date_local,O3,CO
2020-04-01,0.035123,0.1982915
2020-04-02,0.03509925,0.1550415
2020-04-03,0.028461999999999998,0.1645625
2020-04-04,0.028675,0.199604
2020-04-05,0.01525925,0.3205625
2020-04-06,0.0342345,0.201229
2020-04-07,0.03134775,0.207417
2020-04-08,0.0300665,0.26679200000000003
2020-04-09,0.03907125,0.2062085
2020-04-10,0.03465075,0.1587085
2020-04-11,0.035306,0.1726875
2020-04-12,0.0363695,0.2606875
2020-04-13,0.0389055,0.1903335
2020-04-14,0.03766824999999999,0.186604
2020-04-15,0.0369805,0.176479
2020-04-16,0.03609225,0.1568545
2020-04-17,0.03361625,0.2180625
2020-04-18,0.033136,0.2618545
2020-04-19,0.038800999999999995,0.255375
2020-04-20,0.03080725,0.21027099999999999
2020-04-21,0.033100500000000005,0.228271
2020-04-22,0.034354,0.16241650000000002
2020-04-23,0.026904249999999998,0.224271
2020-04-24,0.022643749999999997,0.265625
2020-04-25,0.033334249999999996,0.255
2020-04-26,0.03501025000000001,0.201354
2020-04-27,0.03261,0.1885
2020-04-28,0.02835075,0.19079200000000002
2020-04-29,0.032584,0.237917
2020-04-30,0.03772175,0.178479
2020-05-01,0.03812,0.197104
2020-05-02,0.0347145,0.1520415
2020-05-03,0.04087875,0.2143125
2020-05-04,0.035264000000000004,0.16743750000000002
2020-05-05,0.03572025,0.13674999999999998
2020-05-06,0.026380999999999998,0.20470850000000002
2020-05-07,0.03814,0.1861875
2020-05-08,0.02926825,0.1871665
2020-05-09,0.02729075,0.1452705
2020-05-10,0.03739825,0.19668750000000002
2020-05-11,0.028881,0.191625
2020-05-12,0.0329215,0.15690900000000002
2020-05-13,0.0360575,0.1385625
2020-05-14,0.034618,0.260104
2020-05-15,0.04391025,0.216125
2020-05-16,0.039897499999999995,0.16925
2020-05-17,0.039383,0.1735835
2020-05-18,0.039852000000000005,0.18227100000000002
2020-05-19,0.0352505,0.1527915
2020-05-20,0.034966750000000005,0.1304375
2020-05-21,0.027403999999999998,0.1825
2020-05-22,0.025856749999999998,0.2247085
2020-05-23,0.029655,0.19085400000000002
2020-05-24,0.03268925,0.14858300000000002
2020-05-25,0.0220635,0.2169585
2020-05-26,0.01718525,0.2855205
2020-05-27,0.017976000000000002,0.2145205
2020-05-28,0.01230275,0.193396
2020-05-29,0.014110500000000002,0.214229
2020-05-30,0.034778,0.1528545
2020-05-31,0.02941775,0.10389599999999999
