date_local,PM2.5,PM10,O3,NO2,SO2,CO
2020-04-01,3.9011594000000005,,0.034517500000000007,10.185417,0.3227082,0.3425
2020-04-02,1.7072222,,0.0342555,5.5916665,0.30270840000000004,0.3365835
2020-04-03,1.4733332666666665,4.0,0.03961825,4.0833335,0.299365,0.25038099999999996
2020-04-04,4.443888866666668,,0.03447175,3.1625,0.2996528,0.2110625
2020-04-05,6.075555533333333,,0.02827775,6.487500000000001,0.30083340000000003,0.31000000000000005
2020-04-06,5.280000066666667,13.0,0.03321225,11.775,0.3078788,0.450629
2020-04-07,3.4733333333333336,,0.0446245,9.35625,0.380486,0.3954375
2020-04-08,5.7772222666666675,,0.037472,11.210606,0.35583339999999997,0.4065
2020-04-09,5.009406851851851,7.0,0.042050250000000004,9.1585225,0.1835954,0.3724375
2020-04-10,2.3094444666666667,,0.035269249999999995,4.9517855,0.0035713999999999997,0.348094
2020-04-11,2.373888866666667,,0.03606375,6.04375,0.0068054000000000005,0.34120799999999996
2020-04-12,7.588768130434781,11.0,0.042718000000000006,11.0520835,0.10451380000000002,0.373042
2020-04-13,8.809444466666667,,0.04383125,4.5840905,0.0209634,0.2499545
2020-04-14,4.2787922,,0.042333,7.195833500000001,0.060139,0.3593485
2020-04-15,5.1777777333333335,7.0,0.036751,12.039583499999999,0.0708334,0.43706100000000003
2020-04-16,5.075555533333333,,0.039532750000000005,12.3729165,0.036597000000000005,0.4845625
2020-04-17,5.772029,,0.044121749999999994,7.9380955,0.07507919999999998,0.3873335
2020-04-18,3.8996376521739124,,0.04031575,9.64375,0.0027084,0.402792
2020-04-19,7.373888866666667,,0.04661825,6.7041665,0.10145820000000001,0.3390835
2020-04-20,5.5727778,,0.031246999999999997,10.850379,0.0994696,0.34450000000000003
2020-04-21,6.108024703703704,10.0,0.019274,17.683182000000002,0.11826375,0.4172425
2020-04-22,2.9733334000000005,,0.043348,4.9119565000000005,0.02100675,0.2907465
2020-04-23,5.209999999999999,,0.03999025,11.972619,0.13187480000000001,0.40567450000000005
2020-04-24,7.891304304347828,11.0,0.0327675,11.184524,0.056111,0.442722
2020-04-25,8.444975866666667,,0.03638,13.379166999999999,0.1309724,0.5077079999999999
2020-04-26,4.8444443999999995,,0.0396935,6.745833500000001,0.0746312,0.3200625
2020-04-27,2.062654333333334,,0.040442500000000006,5.072727500000001,0.0031058,0.27737100000000003
2020-04-28,3.605,,0.035391,8.9368055,0.0803474,0.398779
2020-04-29,5.482753599999999,,0.035621749999999994,9.3024475,0.10581940000000001,0.41523350000000003
2020-04-30,7.199809263157896,14.0,0.0376955,6.536111,0.027916600000000003,0.3335555
2020-05-01,5.708550699999999,,,15.480952,,0.462635
2020-05-02,7.758333300000001,,,11.2875,,0.506375
2020-05-03,11.397727272727275,12.0,,7.816667,,0.379146
2020-05-04,5.758333299999999,,,14.386364,,0.42251550000000004
2020-05-05,3.9116665999999993,,,11.504167,,0.3820835
2020-05-06,3.5597222222222222,6.0,,12.675,,0.3393125
2020-05-07,5.1091666,,,15.595652,,0.46855800000000003
2020-05-08,4.7541666000000005,,,15.219048,,0.42161099999999996
2020-05-09,3.1478919999999992,,,4.770833,,0.2634585
2020-05-10,4.758333299999999,,,7.083333,,0.29622950000000003
2020-05-11,7.065,,,15.090909,,0.3980985
2020-05-12,4.148711722222221,6.0,,9.169565,,0.3587465
2020-05-13,4.7042029,,,12.35,,0.462639
2020-05-14,5.9641666,,,18.091667,,0.419271
2020-05-15,10.788257590909092,10.0,,12.895238,,0.3785555
2020-05-16,5.2073684,,,7.725,,0.34939549999999997
2020-05-17,3.4033333999999997,,,6.025,,0.271625
2020-05-18,7.215816357142858,10.0,,11.095455,,0.34125
2020-05-19,5.363333299999999,,,6.241667,,0.20547900000000002
2020-05-20,4.1049999999999995,,,7.30625,,0.20846900000000002
2020-05-21,5.804166642857143,13.0,,12.983333,,0.350646
2020-05-22,7.8508333,,,12.966667,,0.439397
2020-05-23,8.306666600000002,,,4.9125,,0.25475000000000003
2020-05-24,7.2613095,16.0,,3.266667,,0.202521
2020-05-25,7.657500000000001,,,7.686364,,0.304068
2020-05-26,7.6162319,,,9.752174,,0.33693799999999996
2020-05-27,4.5628261,,,7.4375,,0.3145
2020-05-28,5.709999999999999,,,7.216667,,0.317333
2020-05-29,4.5608334,,,6.580952,,0.3658575
2020-05-30,5.258333400000001,0.0,,10.45,,0.4565625
2020-05-31,3.354999999999999,,,5.683333,,0.37675000000000003
