date_local,PM2.5,O3,NO2
2020-04-01,2.1133334,0.02993775,3.090909
2020-04-02,0.21833340000000004,0.0270195,2.208333
2020-04-03,3.5,0.0331605,1.25
2020-04-04,4.6133334,0.02982025,0.761905
2020-04-05,6.3149999999999995,0.02851225,1.583333
2020-04-06,2.5083334,0.03393425,2.791667
2020-04-07,4.410909,0.03981375,2.238095
2020-04-08,5.9116666,0.033272750000000004,4.208333
2020-04-09,4.2016666,0.035327750000000005,2.291667
2020-04-10,1.21,0.0312155,1.0
2020-04-11,3.2183334,0.03510125,0.625
2020-04-12,4.0166666,0.040258999999999996,1.541667
2020-04-13,5.71,0.036607,0.619048
2020-04-14,3.5,0.03865125,1.375
2020-04-15,4.4033334,0.03890175,2.590909
2020-04-16,2.9116665999999998,0.03641575,2.047619
2020-04-17,5.1133334,0.038894,1.708333
2020-04-18,2.71,0.034437,3.454545
2020-04-19,7.1049999999999995,0.04120125,2.0
2020-04-20,4.21,0.03466625,2.458333
2020-04-21,4.5083334,0.035880999999999996,2.25
2020-04-22,2.0173914,0.03936225,0.952381
2020-04-23,5.718333400000001,0.03634275,2.434783
2020-04-24,7.403333399999999,0.03364275,5.041667
2020-04-25,9.209999999999999,0.039113499999999995,3.095238
2020-04-26,5.5083334,0.0367195,0.916667
2020-04-27,3.5083334,0.033177250000000005,1.541667
2020-04-28,3.8019048,0.031284,2.666667
2020-04-29,4.3125,0.02980275,2.333333
2020-04-30,6.411666600000001,0.03078475,1.416667
