date_local,PM2.5,O3
2020-04-01,5.718333400000001,0.035084
2020-04-02,4.21,0.031235
2020-04-03,4.1133334,0.040177500000000005
2020-04-04,8.016666599999999,0.030644750000000002
2020-04-05,8.508333400000001,0.03010525
2020-04-06,5.4116666,0.033141000000000004
2020-04-07,5.707826,0.040528
2020-04-08,7.411666600000001,0.0305575
2020-04-09,6.718333400000001,0.03659
2020-04-10,3.7183334,0.0343585
2020-04-11,4.3149999999999995,0.03365575
2020-04-12,8.613333399999998,0.041603499999999995
2020-04-13,9.312727200000001,0.0437205
2020-04-14,5.0,0.04098025
2020-04-15,5.0083334,0.03481125
2020-04-16,7.0,0.03730575
2020-04-17,9.016666599999999,0.04308
2020-04-18,5.5166666,0.03756025
2020-04-19,9.209999999999999,0.0438645
2020-04-20,6.911666600000001,0.02762075
2020-04-21,7.406956600000001,0.03429
2020-04-22,4.71,0.039684000000000004
2020-04-23,6.403333399999999,0.0397235
2020-04-24,8.4116666,0.0334135
2020-04-25,10.2016666,0.0375475
2020-04-26,8.815000000000001,0.040704750000000005
2020-04-27,3.8139130000000003,0.041117
2020-04-28,5.3149999999999995,0.03395025
2020-04-29,7.516666599999999,0.032753000000000004
2020-04-30,11.008333400000001,0.038260249999999996
2020-05-03,11.5,
2020-05-09,4.1,
2020-05-15,8.7,
2020-05-21,4.7,
2020-05-27,3.6,
