date_local,PM2.5
2020-04-01,6.1616667000000005
2020-04-02,6.157500000000001
2020-04-03,4.306666700000001
2020-04-04,5.3508333000000015
2020-04-05,5.665833300000001
2020-04-06,7.863333299999999
2020-04-07,12.016666699999998
2020-04-08,8.283333333333331
2020-04-09,6.3555555
2020-04-10,10.302500000000002
2020-04-11,7.3633334
2020-04-12,6.8591667
2020-04-13,6.717427600000001
2020-04-14,8.109166700000001
2020-04-15,5.2565216999999995
2020-04-16,5.653333299999999
2020-04-17,7.907500000000001
2020-04-18,7.359166599999999
2020-04-19,5.863333299999999
2020-04-20,5.6575
2020-04-21,4.6616666
2020-04-22,4.113333299999999
2020-04-23,4.214166699999999
2020-04-24,3.9116666
2020-04-25,5.3549999999999995
2020-04-26,6.504166699999999
2020-04-27,3.6658333000000005
2020-04-28,5.302500000000001
2020-04-29,4.157500000000001
2020-04-30,2.6575000000000006
