date_local,PM2.5,O3,NO2
2020-04-01,3.6049999999999995,0.03413133333333333,5.142857
2020-04-02,3.0086956000000002,0.030620916666666664,1.416667
2020-04-03,2.815,0.03787416666666667,1.541667
2020-04-04,6.718333400000001,0.032100083333333335,5.047619
2020-04-05,8.113333399999998,0.02646291666666667,9.458333
2020-04-06,4.6049999999999995,0.0293515,10.458333
2020-04-07,7.0,0.028792833333333337,14.47619
2020-04-08,9.5,0.023746,17.958333
2020-04-09,7.902608600000001,0.0310665,13.041667
2020-04-10,3.9033333999999997,0.03409533333333334,3.333333
2020-04-11,3.4116666,0.03557475,3.291667
2020-04-12,8.016666599999999,0.0415045,9.333333
2020-04-13,6.815,0.039768000000000005,7.285714
2020-04-14,3.125,0.04097266666666666,5.208333
2020-04-15,,0.03678658333333334,9.791667
2020-04-16,,0.03652341666666666,5.666667
2020-04-17,5.6,0.040872166666666675,7.25
2020-04-18,6.0,0.030850750000000007,6.916667
2020-04-19,7.8066666,0.0431925,7.52381
2020-04-20,5.4116666,0.02906575,10.291667
2020-04-21,5.5166666,0.033545250000000006,13.25
2020-04-22,3.7165218,0.03884658333333333,2.8
2020-04-23,5.0166666,0.03799516666666667,12.5
2020-04-24,9.605,0.024381250000000004,15.375
2020-04-25,12.315000000000001,0.03614933333333334,9.52381
2020-04-26,6.7016666,0.04094808333333332,6.625
2020-04-27,3.8066666,0.03834591666666667,2.166667
2020-04-28,4.8149999999999995,0.029613583333333332,8.809524
2020-04-29,6.6049999999999995,0.028008499999999995,13.416667
2020-04-30,9.3036364,0.03151991666666667,10.958333
