date_local,PM2.5,CO
2020-04-01,5.206249999999999,0.2
2020-04-02,3.9654167,
2020-04-03,2.9732142857142847,
2020-04-04,3.7608333000000003,
2020-04-05,6.61125,
2020-04-06,6.189881000000001,
2020-04-07,9.0029167,
2020-04-08,6.310416699999999,
2020-04-09,5.628571428571428,
2020-04-10,3.4583333000000005,
2020-04-11,7.155833400000001,
2020-04-12,10.489583357142857,
2020-04-13,4.415000000000001,
2020-04-14,4.30625,
2020-04-15,5.433359214285715,
2020-04-16,7.460054300000001,
2020-04-17,8.215,
2020-04-18,7.530357142857143,
2020-04-19,10.502916700000002,
2020-04-20,11.311666599999999,
2020-04-21,6.431043,
2020-04-22,5.012500000000001,
2020-04-23,7.412916699999999,
2020-04-24,5.183333285714285,
2020-04-25,6.0083332999999985,
2020-04-26,3.3054167,
2020-04-27,3.2836309285714287,
2020-04-28,5.864166599999999,
2020-04-29,6.6129166999999995,
2020-04-30,3.9821428571428568,
2020-05-01,3.0074999999999994,
2020-05-02,4.655,
2020-05-03,7.085119000000001,
2020-05-04,4.7108333,
2020-05-05,4.453333300000001,
2020-05-06,3.638392857142858,
2020-05-07,3.8587499999999997,
2020-05-08,4.955,
2020-05-09,3.250595214285714,
2020-05-10,4.1608334,
2020-05-11,3.9583333000000005,
2020-05-12,2.9681547857142863,
2020-05-13,6.158068199999999,
2020-05-14,8.4158333,
2020-05-15,10.449404785714288,
2020-05-16,6.603750000000001,
2020-05-17,6.257916700000001,
2020-05-18,6.273214285714284,
2020-05-19,6.057228299999999,
2020-05-20,7.8588596,
2020-05-21,8.343452357142857,
2020-05-22,5.0075,
2020-05-23,5.8645833000000005,
2020-05-24,5.673214285714286,
2020-05-25,5.9091667,
2020-05-26,6.211249999999998,
2020-05-27,4.747619071428572,
2020-05-28,5.354583399999999,
2020-05-29,7.357916699999999,
2020-05-30,5.082142857142857,
2020-05-31,3.56625,
