date_local,O3,NO2,SO2,CO
2020-04-01,0.034480000000000004,9.481723250000002,0.3666665,0.2033125
2020-04-02,0.03575591666666667,3.9452382500000005,0.300974,0.1579055
2020-04-03,0.015364250000000001,3.7666665000000004,0.2010415,0.1045625
2020-04-04,0.008614583333333333,4.00937475,0.09058475,0.10925
2020-04-05,0.01767275,4.010341,0.07187500000000001,0.15718149999999997
2020-04-06,0.018692249999999997,8.03958325,0.296875,0.26739599999999997
2020-04-07,0.0267785,5.16938425,0.3864585,0.26179149999999995
2020-04-08,0.02819033333333333,8.7510415,0.5885414999999999,0.27523
2020-04-09,0.034845249999999994,8.9375,0.5072915,0.203708
2020-04-10,0.043421499999999995,5.35625,0.35,0.1635415
2020-04-11,0.029944583333333333,3.5749999999999997,0.57919275,0.1870835
2020-04-12,0.037260166666666664,1.9918480000000003,0.7770835,0.15425
2020-04-13,0.036037000000000007,3.8343750000000005,0.190625,0.12725
2020-04-14,0.033763999999999995,4.9854165,0.031060749999999998,0.1423125
2020-04-15,0.033765250000000004,8.658469,0.153125,0.189542
2020-04-16,0.042877666666666654,5.2691887500000005,0.3770835,0.1898125
2020-04-17,0.02605016666666667,6.118055249999999,0.3208335,0.1880415
2020-04-18,0.029323666666666668,4.7385415,0.24,0.1937085
2020-04-19,0.02249025,3.070504,0.2958335,0.198739
2020-04-20,0.01906290909090909,6.69270825,0.18854150000000003,0.2078125
2020-04-21,0.043081,6.04037975,0.5229165,0.2064785
2020-04-22,0.035504833333333326,4.4227082499999995,0.48,0.186158
2020-04-23,0.04703608333333332,6.40756575,0.46562499999999996,0.174729
2020-04-24,0.04788824999999999,4.4416665,0.5885414999999999,0.167479
2020-04-25,0.03878658333333333,4.955797250000001,0.17484475,0.1340835
2020-04-26,0.040196583333333334,6.5474310000000004,0.30937499999999996,0.2965185
2020-04-27,0.04898983333333334,2.80104175,0.3197915,0.17675000000000002
2020-04-28,0.03852033333333333,2.91707425,0.5614585,0.1812915
2020-04-29,0.03771608333333334,6.35729175,0.3052085,0.1745625
2020-04-30,0.044242916666666667,10.8864585,0.5645835,0.25549999999999995
2020-05-01,,,,0.2
