date_local,O3
2020-04-01,0.03490075000000001
2020-04-02,0.035413749999999994
2020-04-03,0.029305
2020-04-04,0.028948
2020-04-05,0.01909075
2020-04-06,0.034385
2020-04-07,0.03513675
2020-04-08,0.02610275
2020-04-09,0.033574
2020-04-10,0.033596
2020-04-11,0.035744
2020-04-12,0.03589325
2020-04-13,0.033904
2020-04-14,0.036958
2020-04-15,0.035603499999999996
2020-04-16,0.035733
2020-04-17,0.035145
2020-04-18,0.03175125
2020-04-19,0.039596
2020-04-20,0.03119875
2020-04-21,0.03009125
2020-04-22,0.03509575
2020-04-23,0.0287425
2020-04-24,0.025711499999999998
2020-04-25,0.03113675
2020-04-26,0.0344105
2020-04-27,0.03227275
2020-04-28,0.033100000000000004
2020-04-29,0.034862250000000004
2020-04-30,0.0325425
2020-05-01,0.036369
2020-05-02,0.032996750000000005
2020-05-03,0.03884774999999999
2020-05-04,0.03175125
2020-05-05,0.033600000000000005
2020-05-06,0.02705525
2020-05-07,0.035477
2020-05-08,0.03160575
2020-05-09,0.0277565
2020-05-10,0.03517025
2020-05-11,0.0258095
2020-05-12,0.034571500000000005
2020-05-13,0.035487000000000005
2020-05-14,0.0319455
2020-05-15,0.03625375
2020-05-16,0.0329165
2020-05-17,0.035756
2020-05-18,0.03558575
2020-05-19,0.03285875
2020-05-20,0.03017375
2020-05-21,0.027850999999999997
2020-05-22,0.026992
2020-05-23,0.02193925
2020-05-24,0.029655749999999998
2020-05-25,0.021098750000000003
2020-05-26,0.019848
2020-05-27,0.01807725
2020-05-28,0.00868625
2020-05-29,0.014454499999999999
2020-05-30,0.030977249999999998
2020-05-31,0.02553225
