county,state,date_time,tempC,humidity,windspeedKmph,pressure,uvIndex
New York,New York,2020-04-01,10.591463414634147,57.73170731707317,17.951219512195124,1009.0,2.042682926829268
New York,New York,2020-04-02,11.317073170731707,55.86585365853659,27.585365853658537,1006.3170731707318,2.0
New York,New York,2020-04-03,10.591463414634147,72.59146341463415,26.54268292682927,1005.0426829268292,2.042682926829268
New York,New York,2020-04-04,13.182926829268293,68.86585365853658,14.408536585365853,1016.0,3.0
New York,New York,2020-04-05,12.225609756097562,75.0,10.634146341463415,1018.0,2.8658536585365852
New York,New York,2020-04-06,18.274390243902438,48.59756097560975,10.176829268292684,1017.0,4.591463414634147
New York,New York,2020-04-07,16.182926829268293,47.640243902439025,11.634146341463415,1012.0,4.0
New York,New York,2020-04-08,16.774390243902438,74.91463414634147,10.859756097560975,1001.0,3.042682926829268
New York,New York,2020-04-09,14.768292682926829,62.72560975609756,27.634146341463413,994.2743902439024,3.0
New York,New York,2020-04-10,9.591463414634147,48.18292682926829,34.042682926829265,997.2743902439024,2.408536585365854
New York,New York,2020-04-11,11.591463414634147,41.72560975609756,21.951219512195124,1013.3170731707318,3.0
New York,New York,2020-04-12,16.091463414634145,56.77439024390244,18.274390243902438,1020.0,3.451219512195122
New York,New York,2020-04-13,18.134146341463413,80.64024390243902,42.72560975609756,1007.9573170731708,3.8658536585365852
New York,New York,2020-04-14,13.317073170731707,48.68292682926829,15.268292682926829,1017.2743902439024,3.725609756097561
New York,New York,2020-04-15,11.042682926829269,40.23170731707317,17.3109756097561,1015.0,2.317073170731707
New York,New York,2020-04-16,8.725609756097562,38.86585365853659,25.04268292682927,1019.0,2.408536585365854
New York,New York,2020-04-17,9.865853658536585,46.5,15.908536585365853,1022.0,2.0
New York,New York,2020-04-18,9.0,74.04878048780488,15.134146341463415,1008.0,2.0
New York,New York,2020-04-19,15.182926829268293,51.27439024390244,19.5,1011.2743902439024,4.0
New York,New York,2020-04-20,13.317073170731707,53.1890243902439,12.859756097560975,1005.0,3.0
New York,New York,2020-04-21,13.908536585365853,59.640243902439025,26.908536585365855,1002.4085365853658,3.0
New York,New York,2020-04-22,10.591463414634147,35.0,26.908536585365855,1012.0,3.0
New York,New York,2020-04-23,9.591463414634147,49.457317073170735,10.408536585365853,1017.0,2.0
New York,New York,2020-04-24,8.0,88.14634146341463,18.140243902439025,1008.0,2.0
New York,New York,2020-04-25,14.908536585365853,64.5060975609756,10.408536585365853,1017.0,4.0
New York,New York,2020-04-26,10.957317073170731,81.5548780487805,23.725609756097562,1010.7256097560976,2.0
New York,New York,2020-04-27,8.725609756097562,78.32317073170732,18.908536585365855,1012.0,2.0
New York,New York,2020-04-28,15.591463414634147,57.50609756097561,11.951219512195122,1020.0,4.0
New York,New York,2020-04-29,11.591463414634147,71.41463414634147,19.091463414634145,1022.0,3.0
New York,New York,2020-04-30,14.591463414634147,83.72560975609755,39.21951219512195,1015.6829268292682,3.0
New York,New York,2020-05-01,16.182926829268293,79.2439024390244,12.24390243902439,1006.0,3.573170731707317
New York,New York,2020-05-02,20.182926829268293,50.86585365853659,16.463414634146343,1013.2560975609756,5.0
New York,New York,2020-05-03,23.926829268292682,58.73170731707317,15.426829268292684,1008.0,5.573170731707317
New York,New York,2020-05-04,17.573170731707318,49.3780487804878,22.195121951219512,1006.2560975609756,4.426829268292683
New York,New York,2020-05-05,16.365853658536587,41.26829268292683,15.560975609756097,1012.2560975609756,4.0
New York,New York,2020-05-06,12.317073170731707,63.4390243902439,13.853658536585366,1009.5731707317074,2.7804878048780486
New York,New York,2020-05-07,17.182926829268293,47.86585365853659,15.646341463414634,1008.219512195122,3.5
New York,New York,2020-05-08,13.573170731707316,59.48780487804878,12.207317073170731,1008.0,3.0
New York,New York,2020-05-09,9.0,43.53658536585366,33.65853658536585,1011.219512195122,2.0
New York,New York,2020-05-10,15.573170731707316,44.46341463414634,23.804878048780488,1018.219512195122,4.0
New York,New York,2020-05-11,15.609756097560975,60.25609756097561,24.134146341463413,1011.219512195122,3.0
New York,New York,2020-05-12,14.353658536585366,42.69512195121951,23.378048780487806,1017.219512195122,4.0
New York,New York,2020-05-13,15.646341463414634,37.609756097560975,13.463414634146341,1026.0,4.0
New York,New York,2020-05-14,16.365853658536587,51.829268292682926,13.597560975609756,1025.0,3.207317073170732
New York,New York,2020-05-15,25.71951219512195,68.2560975609756,24.74390243902439,1014.219512195122,5.0
New York,New York,2020-05-16,24.75609756097561,60.292682926829265,11.853658536585366,1017.0,4.7926829268292686
New York,New York,2020-05-17,19.0609756097561,75.7439024390244,19.414634146341463,1016.7439024390244,4.0
New York,New York,2020-05-18,18.097560975609756,58.78048780487805,19.79268292682927,1020.780487804878,4.780487804878049
New York,New York,2020-05-19,17.70731707317073,46.91463414634146,29.329268292682926,1023.0,4.780487804878049
New York,New York,2020-05-20,16.28048780487805,47.74390243902439,21.79268292682927,1029.780487804878,3.573170731707317
New York,New York,2020-05-21,16.926829268292682,62.353658536585364,11.646341463414634,1028.0,4.780487804878049
New York,New York,2020-05-22,20.182926829268293,78.4390243902439,11.170731707317072,1021.0,4.780487804878049
New York,New York,2020-05-23,18.390243902439025,86.28048780487805,12.695121951219512,1017.0,4.0
New York,New York,2020-05-24,19.024390243902438,64.10975609756098,16.670731707317074,1023.780487804878,4.780487804878049
New York,New York,2020-05-25,20.28048780487805,78.09756097560975,9.890243902439025,1023.0,4.0
New York,New York,2020-05-26,22.5,78.86585365853658,9.207317073170731,1023.0,5.573170731707317
