state,county,date_local,PM2.5,O3,SO2,NO2,PM10,CO,tempC,humidity,windspeedKmph,pressure,uvIndex
AL,Jefferson County,4/1/2020,6.006666600000008,0.031009458000000073,1.1029055000000019,6.441762000000004,,0.1480528080192309,17.201923076923077,63.56730769230769,12.125,1016.0,4.0
AL,Jefferson County,4/10/2020,6.811666599999999,0.03315599999999997,0.7484374999999999,6.079901999999994,,0.15567500000000034,15.326923076923077,45.11538461538461,13.10576923076923,1017.0,4.0
AL,Jefferson County,4/11/2020,13.212500000000011,0.03595504199999997,1.8937500000000025,10.233035999999993,,0.2828875000000003,21.66346153846154,48.56730769230769,8.509615384615385,1017.1346153846154,4.990384615384615
AL,Jefferson County,4/12/2020,14.43379632999997,0.032081958000000015,1.1166667499999972,4.281068500000003,,0.17297833299999976,20.673076923076923,81.34615384615384,17.875,1008.9807692307693,3.8365384615384617
AL,Jefferson County,4/13/2020,4.804166599999988,0.029644434999999945,0.6357886250000018,4.060766,,0.11279350000000028,17.625,74.38461538461539,14.798076923076923,1013.0673076923077,3.9615384615384617
AL,Jefferson County,4/14/2020,5.916666599999995,0.03722654199999998,0.6364237499999992,2.2503964999999955,,0.14964999999999978,17.317307692307693,64.27884615384616,11.798076923076923,1018.6730769230769,4.0
AL,Jefferson County,4/15/2020,5.926893939000012,0.034089292,0.7920940000000005,7.493094499999992,,0.1418154999999999,15.317307692307692,47.47115384615385,13.211538461538462,1020.0288461538462,4.0
AL,Jefferson County,4/16/2020,15.917500000000013,0.03166487500000004,1.7791667500000015,16.55181199999998,,0.31145825000000044,19.875,48.82692307692308,7.846153846153846,1024.0,4.586538461538462
AL,Jefferson County,4/17/2020,12.802500000000007,0.03884724999999992,1.149479249999999,8.60555550000001,,0.2317980000000003,22.58653846153846,59.88461538461539,12.442307692307692,1020.0,4.346153846153846
AL,Jefferson County,4/18/2020,6.949536999999995,0.026374333000000014,0.9229167499999992,4.921131000000002,,0.17027000000000012,20.923076923076923,62.33653846153846,11.173076923076923,1016.0288461538462,4.990384615384615
AL,Jefferson County,4/19/2020,7.30083339999999,0.022332707999999982,1.063541749999999,9.122464000000011,,0.21455916700000052,20.884615384615383,85.65384615384616,5.384615384615385,1009.6538461538462,3.8653846153846154
AL,Jefferson County,4/2/2020,7.508333399999999,0.02778862499999994,1.4296875,11.027083499999993,,0.21559133299999997,21.875,56.95192307692308,7.528846153846154,1018.9807692307693,4.586538461538462
AL,Jefferson County,4/20/2020,5.402499999999992,0.02948191700000002,0.7758386250000003,9.36749999999998,,0.2169950000000004,22.28846153846154,69.6826923076923,9.576923076923077,1008.0192307692307,5.0
AL,Jefferson County,4/21/2020,6.925883848000009,0.02890108300000004,0.9690476250000014,10.19296050000002,,0.28322733299999947,23.85576923076923,63.61538461538461,9.663461538461538,1015.0,5.0
AL,Jefferson County,4/22/2020,10.518333399999987,0.027792292,1.5534155,14.47774150000002,,0.2639368329999997,20.259615384615383,60.71153846153846,10.413461538461538,1017.6826923076923,4.5576923076923075
AL,Jefferson County,4/23/2020,7.815000000000019,0.031332833,0.8302084999999988,5.764583000000006,,0.1602986669999997,20.03846153846154,88.73076923076923,16.46153846153846,1006.9615384615385,4.0
AL,Jefferson County,4/24/2020,4.94814811100001,0.027008499999999994,0.8031249999999994,6.65625,,0.1850625000000004,24.182692307692307,74.90384615384616,7.605769230769231,1010.0,4.326923076923077
AL,Jefferson County,4/25/2020,5.811666600000005,0.037293416999999975,0.8973960000000004,6.381703000000007,,0.20889366700000034,24.990384615384617,69.84615384615384,16.25,1010.4423076923077,5.413461538461538
AL,Jefferson County,4/26/2020,3.5166666000000038,0.037493083000000094,0.560937500000001,2.2479170000000006,,0.10806949999999979,20.03846153846154,61.13461538461539,17.451923076923077,1019.0,4.990384615384615
AL,Jefferson County,4/27/2020,6.425126273000004,0.02765333299999996,1.162736374999998,13.251655999999992,,0.22291399999999964,23.0,52.29807692307692,5.5,1023.0,5.0
AL,Jefferson County,4/28/2020,13.4016666,0.040116417000000036,1.8332588750000032,11.271428499999981,,0.30151999999999995,25.576923076923077,52.00961538461539,10.115384615384615,1019.0,5.990384615384615
AL,Jefferson County,4/29/2020,6.613333399999991,0.037412999999999946,0.857565875000001,7.203594999999989,,0.12536266699999973,18.615384615384617,85.4423076923077,15.451923076923077,1010.0,4.0
AL,Jefferson County,4/3/2020,11.598484849999984,0.028906542000000056,2.0859375,16.972011000000016,,0.32318833300000016,25.307692307692307,53.33653846153846,4.298076923076923,1017.0,5.538461538461538
AL,Jefferson County,4/30/2020,3.597222222000008,0.03648191700000005,0.6894412500000011,5.825,,0.13217233299999986,20.317307692307693,66.75,14.086538461538462,1012.9903846153846,4.528846153846154
AL,Jefferson County,4/4/2020,12.807499999999978,0.03361087499999996,1.6609374999999986,9.415476499999983,,0.22316916700000053,25.35576923076923,55.66346153846154,6.211538461538462,1015.0,5.990384615384615
AL,Jefferson County,4/5/2020,14.704166600000006,0.03376304199999994,1.5916665000000016,11.03115949999998,,0.2191945000000003,27.0,59.32692307692308,4.913461538461538,1017.0,6.0
AL,Jefferson County,4/6/2020,17.884722219999972,0.03529250000000006,1.4159089999999994,14.98142299999997,,0.31003883300000007,27.548076923076923,64.16346153846153,6.625,1018.0,6.0
AL,Jefferson County,4/7/2020,16.515000000000033,0.025616916999999965,0.91212775,13.14399600000001,,0.21383099999999997,22.58653846153846,82.33653846153847,8.23076923076923,1016.0,4.0
