,location,date_time,tempC,humidity,windspeedKmph,pressure,uvIndex
0,92090,2020-04-01,22,58,8,1010,5
1,92090,2020-04-02,18,69,10,1012,5
2,92090,2020-04-03,18,67,7,1013,5
3,92090,2020-04-04,17,69,10,1011,5
4,92090,2020-04-05,15,74,11,1011,3
5,92090,2020-04-06,13,78,19,1013,3
6,92090,2020-04-07,13,81,7,1016,3
7,92090,2020-04-08,14,68,13,1016,3
8,92090,2020-04-09,15,71,12,1018,3
9,92090,2020-04-10,11,86,9,1015,3
10,92090,2020-04-11,17,70,8,1015,4
11,92090,2020-04-12,13,77,9,1016,3
12,92090,2020-04-13,14,80,8,1018,3
13,92090,2020-04-14,24,59,7,1019,6
14,92090,2020-04-15,25,33,8,1016,6
15,92090,2020-04-16,23,51,7,1012,6
16,92090,2020-04-17,15,73,10,1013,3
17,92090,2020-04-18,15,73,10,1016,3
18,92090,2020-04-19,17,72,10,1016,4
19,92090,2020-04-20,17,73,11,1016,4
20,92090,2020-04-21,19,69,9,1017,5
21,92090,2020-04-22,27,48,7,1017,6
22,92090,2020-04-23,28,39,5,1013,7
23,92090,2020-04-24,33,39,5,1012,7
24,92090,2020-04-25,31,43,6,1013,7
25,92090,2020-04-26,30,41,6,1013,7
26,92090,2020-04-27,26,55,7,1013,6
27,92090,2020-04-28,27,54,6,1014,7
28,92090,2020-04-29,26,61,7,1014,6
29,92090,2020-04-30,24,65,7,1012,6
30,92090,2020-05-01,25,62,8,1012,6
31,92090,2020-05-02,25,56,8,1014,6
32,92090,2020-05-03,24,60,8,1015,6
33,92090,2020-05-04,26,56,7,1014,6
34,92090,2020-05-05,31,40,6,1013,7
35,92090,2020-05-06,32,31,6,1011,8
36,92090,2020-05-07,30,36,6,1010,7
37,92090,2020-05-08,28,44,6,1011,7
38,92090,2020-05-09,26,58,6,1012,5
39,92090,2020-05-10,25,68,8,1013,6
40,92090,2020-05-11,22,63,10,1014,6
41,92090,2020-05-12,22,67,14,1015,4
42,92090,2020-05-13,18,67,11,1014,4
43,92090,2020-05-14,22,63,9,1014,4
44,92090,2020-05-15,23,62,10,1011,6
45,92090,2020-05-16,24,67,8,1010,6
46,92090,2020-05-17,22,67,9,1011,6
47,92090,2020-05-18,21,72,13,1013,4
48,92090,2020-05-19,19,62,18,1014,4
49,92090,2020-05-20,23,52,9,1015,6
50,92090,2020-05-21,26,51,7,1012,6
51,92090,2020-05-22,23,60,9,1010,6
52,92090,2020-05-23,20,63,8,1011,5
53,92090,2020-05-24,24,63,8,1012,6
54,92090,2020-05-25,29,51,7,1011,7
55,92090,2020-05-26,29,42,8,1011,7
56,92090,2020-05-27,30,44,7,1012,7
57,92090,2020-05-28,27,58,8,1013,7
58,92090,2020-05-29,25,68,8,1013,6
59,92090,2020-05-30,25,60,11,1013,5
60,92090,2020-05-31,24,60,9,1011,6
