,location,date_time,tempC,humidity,windspeedKmph,pressure,uvIndex
0,14472,2020-04-01,5,77,11,1013,1
1,14472,2020-04-02,5,81,18,1015,1
2,14472,2020-04-03,4,94,14,1014,1
3,14472,2020-04-04,10,92,4,1018,2
4,14472,2020-04-05,10,88,9,1018,2
5,14472,2020-04-06,11,61,9,1019,3
6,14472,2020-04-07,14,64,7,1011,4
7,14472,2020-04-08,11,89,8,1002,2
8,14472,2020-04-09,7,78,22,994,2
9,14472,2020-04-10,2,85,31,1000,1
10,14472,2020-04-11,6,68,19,1014,1
11,14472,2020-04-12,15,65,15,1015,3
12,14472,2020-04-13,17,83,32,999,3
13,14472,2020-04-14,6,58,18,1018,1
14,14472,2020-04-15,5,63,16,1016,1
15,14472,2020-04-16,2,73,18,1021,1
16,14472,2020-04-17,4,77,10,1020,1
17,14472,2020-04-18,6,84,14,1012,1
18,14472,2020-04-19,9,84,22,1008,2
19,14472,2020-04-20,9,73,7,1008,1
20,14472,2020-04-21,6,71,28,1001,1
21,14472,2020-04-22,4,61,26,1013,1
22,14472,2020-04-23,3,77,8,1016,1
23,14472,2020-04-24,8,87,7,1010,2
24,14472,2020-04-25,12,71,7,1017,2
25,14472,2020-04-26,8,93,14,1014,2
26,14472,2020-04-27,4,95,15,1018,1
27,14472,2020-04-28,14,72,10,1019,3
28,14472,2020-04-29,16,82,27,1015,3
29,14472,2020-04-30,15,87,24,1005,3
30,14472,2020-05-01,15,85,12,1009,3
31,14472,2020-05-02,18,76,12,1014,3
32,14472,2020-05-03,20,78,16,1007,4
33,14472,2020-05-04,8,79,18,1012,2
34,14472,2020-05-05,7,59,10,1016,1
35,14472,2020-05-06,9,67,10,1012,2
36,14472,2020-05-07,13,70,16,1010,2
37,14472,2020-05-08,6,65,13,1010,1
38,14472,2020-05-09,3,66,25,1014,1
39,14472,2020-05-10,9,86,16,1015,2
40,14472,2020-05-11,5,94,13,1012,1
41,14472,2020-05-12,8,73,19,1020,1
42,14472,2020-05-13,11,68,8,1027,3
43,14472,2020-05-14,16,76,10,1021,3
44,14472,2020-05-15,18,93,23,1010,4
45,14472,2020-05-16,18,85,9,1018,3
46,14472,2020-05-17,20,90,21,1011,4
47,14472,2020-05-18,12,96,15,1020,3
48,14472,2020-05-19,18,80,14,1023,4
49,14472,2020-05-20,18,65,14,1028,4
50,14472,2020-05-21,20,63,11,1026,5
51,14472,2020-05-22,22,87,7,1019,4
52,14472,2020-05-23,20,93,7,1017,4
53,14472,2020-05-24,23,84,17,1019,6
54,14472,2020-05-25,27,84,13,1018,5
55,14472,2020-05-26,29,79,8,1020,6
56,14472,2020-05-27,27,78,13,1020,5
57,14472,2020-05-28,22,86,17,1015,5
58,14472,2020-05-29,25,85,18,1011,5
59,14472,2020-05-30,18,85,18,1015,4
60,14472,2020-05-31,12,75,13,1022,3
