,location,date_time,tempC,humidity,windspeedKmph,pressure,uvIndex
0,60561,2020-04-01,11,70,8,1019,2
1,60561,2020-04-02,14,55,6,1021,4
2,60561,2020-04-03,19,51,6,1017,3
3,60561,2020-04-04,11,66,11,1019,2
4,60561,2020-04-05,12,47,10,1022,3
5,60561,2020-04-06,16,65,7,1017,3
6,60561,2020-04-07,23,81,11,1006,4
7,60561,2020-04-08,22,64,12,1005,4
8,60561,2020-04-09,9,38,25,1008,2
9,60561,2020-04-10,10,39,17,1016,3
10,60561,2020-04-11,15,51,12,1012,4
11,60561,2020-04-12,17,77,14,1002,3
12,60561,2020-04-13,6,52,23,1009,1
13,60561,2020-04-14,6,36,17,1021,1
14,60561,2020-04-15,6,41,11,1019,1
15,60561,2020-04-16,8,32,10,1025,2
16,60561,2020-04-17,4,80,9,1018,1
17,60561,2020-04-18,13,63,19,1013,3
18,60561,2020-04-19,15,57,15,1009,3
19,60561,2020-04-20,15,48,13,1006,3
20,60561,2020-04-21,10,32,20,1013,3
21,60561,2020-04-22,14,58,9,1013,2
22,60561,2020-04-23,14,87,7,1006,3
23,60561,2020-04-24,10,76,10,1011,2
24,60561,2020-04-25,8,82,19,1013,2
25,60561,2020-04-26,14,47,16,1019,3
26,60561,2020-04-27,18,56,14,1018,3
27,60561,2020-04-28,22,81,10,1008,4
28,60561,2020-04-29,15,83,14,999,3
29,60561,2020-04-30,12,70,19,1006,2
30,60561,2020-05-01,19,51,8,1016,4
31,60561,2020-05-02,23,65,17,1012,4
32,60561,2020-05-03,20,47,13,1014,5
33,60561,2020-05-04,12,53,16,1020,2
34,60561,2020-05-05,9,69,14,1015,2
35,60561,2020-05-06,16,41,12,1019,3
36,60561,2020-05-07,17,47,14,1015,4
37,60561,2020-05-08,8,43,14,1017,2
38,60561,2020-05-09,13,45,13,1022,3
39,60561,2020-05-10,10,73,18,1016,2
40,60561,2020-05-11,11,59,12,1023,3
41,60561,2020-05-12,15,52,10,1024,3
42,60561,2020-05-13,17,46,15,1023,4
43,60561,2020-05-14,23,86,18,1012,4
44,60561,2020-05-15,25,62,12,1012,6
45,60561,2020-05-16,19,80,8,1011,4
46,60561,2020-05-17,23,67,11,1014,4
47,60561,2020-05-18,22,72,10,1006,4
48,60561,2020-05-19,17,84,19,1012,4
49,60561,2020-05-20,19,69,17,1020,4
50,60561,2020-05-21,21,69,10,1019,4
51,60561,2020-05-22,23,67,6,1017,5
52,60561,2020-05-23,27,72,15,1012,5
53,60561,2020-05-24,32,69,13,1012,7
54,60561,2020-05-25,31,64,13,1013,7
55,60561,2020-05-26,31,63,14,1014,6
56,60561,2020-05-27,29,63,11,1013,6
57,60561,2020-05-28,24,79,14,1011,5
58,60561,2020-05-29,22,57,14,1015,5
59,60561,2020-05-30,21,54,13,1022,4
60,60561,2020-05-31,23,45,9,1026,5
