,location,date_time,tempC,humidity,windspeedKmph,pressure,uvIndex
0,15014,2020-04-01,11,77,10,1012,2
1,15014,2020-04-02,7,77,14,1017,1
2,15014,2020-04-03,12,78,12,1016,2
3,15014,2020-04-04,17,76,3,1017,3
4,15014,2020-04-05,14,85,7,1018,3
5,15014,2020-04-06,20,63,3,1019,4
6,15014,2020-04-07,16,81,5,1010,3
7,15014,2020-04-08,19,81,11,1002,4
8,15014,2020-04-09,12,76,21,998,2
9,15014,2020-04-10,6,71,21,1007,1
10,15014,2020-04-11,11,68,10,1017,3
11,15014,2020-04-12,17,75,9,1014,3
12,15014,2020-04-13,18,82,20,1003,3
13,15014,2020-04-14,8,66,10,1020,2
14,15014,2020-04-15,9,61,12,1017,2
15,15014,2020-04-16,6,68,13,1023,1
16,15014,2020-04-17,8,77,6,1019,2
17,15014,2020-04-18,10,79,12,1013,2
18,15014,2020-04-19,14,76,14,1011,2
19,15014,2020-04-20,13,63,8,1007,2
20,15014,2020-04-21,7,68,20,1006,2
21,15014,2020-04-22,10,58,13,1017,3
22,15014,2020-04-23,17,88,9,1011,3
23,15014,2020-04-24,15,92,7,1007,3
24,15014,2020-04-25,19,81,8,1013,3
25,15014,2020-04-26,12,96,13,1007,3
26,15014,2020-04-27,13,76,12,1019,2
27,15014,2020-04-28,10,86,8,1018,2
28,15014,2020-04-29,19,82,19,1010,4
29,15014,2020-04-30,13,90,11,1004,3
30,15014,2020-05-01,12,84,10,1011,2
31,15014,2020-05-02,17,75,10,1016,4
32,15014,2020-05-03,21,83,13,1009,4
33,15014,2020-05-04,10,78,14,1014,2
34,15014,2020-05-05,14,69,7,1014,4
35,15014,2020-05-06,8,92,12,1010,2
36,15014,2020-05-07,16,75,12,1013,3
37,15014,2020-05-08,7,94,9,1011,2
38,15014,2020-05-09,7,56,18,1019,1
39,15014,2020-05-10,16,69,14,1017,3
40,15014,2020-05-11,6,92,16,1016,1
41,15014,2020-05-12,11,74,12,1023,2
42,15014,2020-05-13,16,69,5,1026,4
43,15014,2020-05-14,17,81,9,1021,3
44,15014,2020-05-15,20,92,16,1014,4
45,15014,2020-05-16,20,96,6,1016,4
46,15014,2020-05-17,22,91,16,1013,5
47,15014,2020-05-18,22,83,15,1014,5
48,15014,2020-05-19,18,60,18,1018,5
49,15014,2020-05-20,17,50,17,1025,4
50,15014,2020-05-21,20,71,13,1024,5
51,15014,2020-05-22,19,95,7,1018,4
52,15014,2020-05-23,24,87,4,1017,4
53,15014,2020-05-24,26,83,11,1019,5
54,15014,2020-05-25,29,84,7,1019,5
55,15014,2020-05-26,29,76,9,1020,7
56,15014,2020-05-27,26,78,10,1019,6
57,15014,2020-05-28,27,85,12,1015,5
58,15014,2020-05-29,26,85,14,1013,5
59,15014,2020-05-30,22,78,11,1017,4
60,15014,2020-05-31,17,67,11,1023,4
