,location,date_time,tempC,humidity,windspeedKmph,pressure,uvIndex
0,22120,2020-04-01,12,72,12,1010,2
1,22120,2020-04-02,12,54,21,1013,2
2,22120,2020-04-03,15,57,22,1011,3
3,22120,2020-04-04,14,73,8,1017,3
4,22120,2020-04-05,20,72,6,1018,4
5,22120,2020-04-06,19,55,9,1018,5
6,22120,2020-04-07,23,66,7,1011,4
7,22120,2020-04-08,25,70,11,1002,5
8,22120,2020-04-09,22,56,20,998,4
9,22120,2020-04-10,11,43,24,1006,3
10,22120,2020-04-11,15,50,11,1017,4
11,22120,2020-04-12,21,62,13,1018,5
12,22120,2020-04-13,25,73,27,1006,5
13,22120,2020-04-14,12,56,12,1019,3
14,22120,2020-04-15,12,55,11,1018,3
15,22120,2020-04-16,11,47,14,1022,3
16,22120,2020-04-17,16,53,8,1021,3
17,22120,2020-04-18,12,67,13,1011,3
18,22120,2020-04-19,17,59,10,1013,3
19,22120,2020-04-20,16,62,11,1005,3
20,22120,2020-04-21,16,64,19,1005,3
21,22120,2020-04-22,14,41,13,1016,3
22,22120,2020-04-23,18,71,11,1014,3
23,22120,2020-04-24,17,85,10,1006,4
24,22120,2020-04-25,17,78,8,1016,3
25,22120,2020-04-26,20,87,10,1007,4
26,22120,2020-04-27,13,70,17,1015,3
27,22120,2020-04-28,14,76,7,1021,3
28,22120,2020-04-29,25,74,13,1016,5
29,22120,2020-04-30,17,89,16,1007,4
30,22120,2020-05-01,19,68,14,1008,4
31,22120,2020-05-02,23,55,12,1017,5
32,22120,2020-05-03,24,80,11,1009,5
33,22120,2020-05-04,20,59,18,1010,5
34,22120,2020-05-05,14,65,7,1014,3
35,22120,2020-05-06,14,80,12,1008,3
36,22120,2020-05-07,19,54,13,1012,5
37,22120,2020-05-08,18,64,15,1009,4
38,22120,2020-05-09,11,38,19,1018,3
39,22120,2020-05-10,18,46,13,1020,4
40,22120,2020-05-11,14,58,17,1015,3
41,22120,2020-05-12,16,50,13,1022,4
42,22120,2020-05-13,20,48,8,1026,5
43,22120,2020-05-14,18,77,9,1024,3
44,22120,2020-05-15,28,67,16,1017,6
45,22120,2020-05-16,27,79,7,1017,5
46,22120,2020-05-17,31,72,12,1014,7
47,22120,2020-05-18,20,77,13,1017,4
48,22120,2020-05-19,19,52,20,1020,5
49,22120,2020-05-20,17,59,19,1026,3
50,22120,2020-05-21,19,75,15,1026,4
51,22120,2020-05-22,25,92,9,1018,5
52,22120,2020-05-23,28,72,8,1016,6
53,22120,2020-05-24,22,80,11,1022,4
54,22120,2020-05-25,26,77,7,1022,5
55,22120,2020-05-26,29,77,7,1022,6
56,22120,2020-05-27,26,79,9,1022,5
57,22120,2020-05-28,27,86,15,1018,6
58,22120,2020-05-29,32,77,15,1015,6
59,22120,2020-05-30,28,58,10,1014,7
60,22120,2020-05-31,22,42,16,1020,6
