,location,date_time,tempC,humidity,windspeedKmph,pressure,uvIndex
0,80211,2020-04-01,18,38,13,1005,4
1,80211,2020-04-02,5,76,13,1010,1
2,80211,2020-04-03,5,69,13,1021,1
3,80211,2020-04-04,13,52,9,1013,2
4,80211,2020-04-05,18,46,12,1007,4
5,80211,2020-04-06,20,31,16,1008,4
6,80211,2020-04-07,19,27,13,1012,5
7,80211,2020-04-08,18,29,11,1015,4
8,80211,2020-04-09,12,62,9,1017,2
9,80211,2020-04-10,21,44,8,1011,4
10,80211,2020-04-11,19,33,10,1003,3
11,80211,2020-04-12,-3,81,19,1012,1
12,80211,2020-04-13,-4,87,11,1023,1
13,80211,2020-04-14,3,64,7,1025,2
14,80211,2020-04-15,10,55,9,1015,1
15,80211,2020-04-16,-2,98,14,1018,1
16,80211,2020-04-17,7,79,5,1021,2
17,80211,2020-04-18,12,62,10,1011,2
18,80211,2020-04-19,13,61,8,1011,2
19,80211,2020-04-20,16,48,6,1014,4
20,80211,2020-04-21,16,53,7,1013,3
21,80211,2020-04-22,17,45,13,1012,4
22,80211,2020-04-23,17,45,10,1010,3
23,80211,2020-04-24,13,57,12,1016,2
24,80211,2020-04-25,15,46,7,1020,4
25,80211,2020-04-26,19,45,12,1017,4
26,80211,2020-04-27,23,40,11,1015,5
27,80211,2020-04-28,21,37,18,1017,5
28,80211,2020-04-29,20,36,10,1023,4
29,80211,2020-04-30,27,32,10,1013,5
30,80211,2020-05-01,27,32,10,1011,6
31,80211,2020-05-02,24,58,11,1014,4
32,80211,2020-05-03,24,48,8,1013,5
33,80211,2020-05-04,22,46,9,1015,5
34,80211,2020-05-05,20,25,5,1022,5
35,80211,2020-05-06,21,32,10,1022,5
36,80211,2020-05-07,21,23,15,1015,5
37,80211,2020-05-08,16,42,13,1023,4
38,80211,2020-05-09,13,44,14,1021,4
39,80211,2020-05-10,16,40,11,1022,4
40,80211,2020-05-11,12,55,9,1016,2
41,80211,2020-05-12,25,45,7,1009,5
42,80211,2020-05-13,25,21,9,1006,6
43,80211,2020-05-14,22,43,6,1011,4
44,80211,2020-05-15,20,58,7,1011,4
45,80211,2020-05-16,20,50,10,1013,4
46,80211,2020-05-17,28,40,6,1012,6
47,80211,2020-05-18,32,37,7,1012,7
48,80211,2020-05-19,31,27,12,1010,6
49,80211,2020-05-20,28,29,20,1006,6
50,80211,2020-05-21,23,26,11,1011,4
51,80211,2020-05-22,26,25,11,1010,6
52,80211,2020-05-23,26,19,12,1005,6
53,80211,2020-05-24,17,50,11,1013,3
54,80211,2020-05-25,19,47,7,1018,3
55,80211,2020-05-26,25,33,8,1016,6
56,80211,2020-05-27,29,40,8,1016,6
57,80211,2020-05-28,22,56,10,1021,4
58,80211,2020-05-29,30,46,6,1019,5
59,80211,2020-05-30,29,40,14,1017,6
60,80211,2020-05-31,29,42,9,1016,7
