,location,date_time,tempC,humidity,windspeedKmph,pressure,uvIndex
0,90055,2020-04-01,23,54,10,1010,6
1,90055,2020-04-02,21,63,9,1013,5
2,90055,2020-04-03,21,62,10,1013,5
3,90055,2020-04-04,20,63,10,1011,5
4,90055,2020-04-05,16,67,13,1011,4
5,90055,2020-04-06,15,70,11,1012,3
6,90055,2020-04-07,17,69,8,1016,3
7,90055,2020-04-08,15,58,11,1016,3
8,90055,2020-04-09,12,68,12,1018,3
9,90055,2020-04-10,17,62,9,1015,4
10,90055,2020-04-11,20,65,10,1015,5
11,90055,2020-04-12,15,74,10,1016,3
12,90055,2020-04-13,19,65,9,1018,4
13,90055,2020-04-14,26,47,6,1020,6
14,90055,2020-04-15,27,21,9,1016,7
15,90055,2020-04-16,24,52,10,1012,5
16,90055,2020-04-17,19,63,12,1013,4
17,90055,2020-04-18,19,58,10,1017,4
18,90055,2020-04-19,18,65,10,1016,4
19,90055,2020-04-20,19,68,10,1016,4
20,90055,2020-04-21,23,57,10,1018,6
21,90055,2020-04-22,29,40,7,1019,7
22,90055,2020-04-23,31,38,8,1015,7
23,90055,2020-04-24,35,29,7,1013,8
24,90055,2020-04-25,33,37,8,1014,7
25,90055,2020-04-26,31,40,9,1013,6
26,90055,2020-04-27,29,46,9,1014,7
27,90055,2020-04-28,32,49,9,1015,7
28,90055,2020-04-29,29,58,10,1014,7
29,90055,2020-04-30,28,59,10,1012,6
30,90055,2020-05-01,28,53,11,1013,6
31,90055,2020-05-02,27,51,11,1015,6
32,90055,2020-05-03,26,54,10,1016,6
33,90055,2020-05-04,29,45,9,1015,7
34,90055,2020-05-05,34,27,7,1014,8
35,90055,2020-05-06,34,27,7,1013,8
36,90055,2020-05-07,33,31,9,1011,8
37,90055,2020-05-08,31,39,10,1011,7
38,90055,2020-05-09,29,49,10,1012,6
39,90055,2020-05-10,27,57,11,1013,6
40,90055,2020-05-11,24,57,11,1014,6
41,90055,2020-05-12,24,51,15,1015,6
42,90055,2020-05-13,23,52,12,1014,6
43,90055,2020-05-14,25,52,11,1014,6
44,90055,2020-05-15,26,50,11,1011,6
45,90055,2020-05-16,26,53,10,1010,5
46,90055,2020-05-17,26,56,10,1011,6
47,90055,2020-05-18,22,62,14,1013,5
48,90055,2020-05-19,23,48,15,1014,6
49,90055,2020-05-20,25,50,11,1016,6
50,90055,2020-05-21,29,39,10,1013,7
51,90055,2020-05-22,26,51,12,1010,6
52,90055,2020-05-23,24,58,12,1012,6
53,90055,2020-05-24,28,54,10,1012,6
54,90055,2020-05-25,30,45,10,1012,7
55,90055,2020-05-26,33,39,10,1012,7
56,90055,2020-05-27,31,44,10,1012,7
57,90055,2020-05-28,30,55,10,1013,7
58,90055,2020-05-29,26,65,11,1013,6
59,90055,2020-05-30,26,57,12,1014,5
60,90055,2020-05-31,26,55,9,1013,6
