,location,date_time,tempC,humidity,windspeedKmph,pressure,uvIndex
0,10196,2020-04-01,10,63,19,1009,2
1,10196,2020-04-02,10,59,30,1007,2
2,10196,2020-04-03,10,75,27,1005,2
3,10196,2020-04-04,12,74,15,1016,3
4,10196,2020-04-05,13,76,11,1018,3
5,10196,2020-04-06,17,57,8,1017,4
6,10196,2020-04-07,15,56,10,1012,4
7,10196,2020-04-08,15,80,12,1001,3
8,10196,2020-04-09,14,65,28,995,3
9,10196,2020-04-10,9,54,37,998,3
10,10196,2020-04-11,11,48,23,1014,3
11,10196,2020-04-12,17,61,18,1020,4
12,10196,2020-04-13,19,81,41,1008,4
13,10196,2020-04-14,12,55,15,1018,3
14,10196,2020-04-15,11,48,17,1015,3
15,10196,2020-04-16,8,46,26,1019,3
16,10196,2020-04-17,10,51,15,1022,2
17,10196,2020-04-18,9,78,17,1008,2
18,10196,2020-04-19,14,57,20,1012,4
19,10196,2020-04-20,12,61,14,1005,3
20,10196,2020-04-21,14,64,28,1003,3
21,10196,2020-04-22,10,42,28,1012,3
22,10196,2020-04-23,9,56,11,1017,2
23,10196,2020-04-24,8,91,20,1008,2
24,10196,2020-04-25,13,71,11,1017,4
25,10196,2020-04-26,11,89,24,1010,2
26,10196,2020-04-27,8,81,20,1012,2
27,10196,2020-04-28,15,62,13,1020,4
28,10196,2020-04-29,11,78,21,1022,3
29,10196,2020-04-30,14,89,38,1015,3
30,10196,2020-05-01,15,83,12,1006,3
31,10196,2020-05-02,19,58,17,1014,5
32,10196,2020-05-03,22,68,16,1008,5
33,10196,2020-05-04,17,58,21,1007,5
34,10196,2020-05-05,16,50,14,1013,4
35,10196,2020-05-06,11,70,15,1009,2
36,10196,2020-05-07,16,55,17,1009,4
37,10196,2020-05-08,13,67,12,1008,3
38,10196,2020-05-09,9,48,35,1012,2
39,10196,2020-05-10,15,50,24,1019,4
40,10196,2020-05-11,15,66,24,1012,3
41,10196,2020-05-12,13,50,23,1018,4
42,10196,2020-05-13,15,44,14,1026,4
43,10196,2020-05-14,16,59,14,1025,3
44,10196,2020-05-15,24,74,24,1015,5
45,10196,2020-05-16,23,68,13,1017,5
46,10196,2020-05-17,21,80,21,1016,4
47,10196,2020-05-18,14,71,25,1020,4
48,10196,2020-05-19,15,57,34,1023,4
49,10196,2020-05-20,13,60,27,1029,3
50,10196,2020-05-21,15,74,13,1028,4
51,10196,2020-05-22,19,85,11,1021,4
52,10196,2020-05-23,17,94,11,1017,4
53,10196,2020-05-24,15,76,19,1023,4
54,10196,2020-05-25,17,87,11,1023,4
55,10196,2020-05-26,20,86,9,1023,5
56,10196,2020-05-27,20,84,13,1023,5
57,10196,2020-05-28,20,91,17,1021,4
58,10196,2020-05-29,24,86,19,1015,5
59,10196,2020-05-30,25,65,15,1012,6
60,10196,2020-05-31,19,49,22,1018,5
