,location,date_time,tempC,humidity,windspeedKmph,pressure,uvIndex
0,94060,2020-04-01,14,67,16,1016,4
1,94060,2020-04-02,15,60,11,1019,4
2,94060,2020-04-03,15,68,12,1018,4
3,94060,2020-04-04,11,89,9,1013,2
4,94060,2020-04-05,10,86,15,1006,2
5,94060,2020-04-06,8,85,4,1012,2
6,94060,2020-04-07,16,72,9,1017,4
7,94060,2020-04-08,15,82,5,1014,3
8,94060,2020-04-09,14,85,7,1016,3
9,94060,2020-04-10,16,81,8,1017,3
10,94060,2020-04-11,18,81,6,1017,5
11,94060,2020-04-12,19,81,6,1017,5
12,94060,2020-04-13,21,76,5,1020,5
13,94060,2020-04-14,22,53,6,1022,6
14,94060,2020-04-15,23,51,5,1018,6
15,94060,2020-04-16,19,78,5,1012,5
16,94060,2020-04-17,16,77,7,1014,4
17,94060,2020-04-18,16,72,7,1018,3
18,94060,2020-04-19,18,75,5,1018,5
19,94060,2020-04-20,17,74,10,1020,4
20,94060,2020-04-21,18,75,12,1023,5
21,94060,2020-04-22,21,72,9,1025,5
22,94060,2020-04-23,21,71,14,1022,5
23,94060,2020-04-24,23,57,9,1019,6
24,94060,2020-04-25,23,61,9,1017,5
25,94060,2020-04-26,22,59,10,1018,5
26,94060,2020-04-27,21,65,11,1020,5
27,94060,2020-04-28,25,68,8,1018,6
28,94060,2020-04-29,21,71,11,1016,5
29,94060,2020-04-30,22,63,12,1019,5
30,94060,2020-05-01,20,59,11,1019,5
31,94060,2020-05-02,20,76,9,1020,5
32,94060,2020-05-03,18,60,13,1022,5
33,94060,2020-05-04,21,48,9,1021,5
34,94060,2020-05-05,22,64,12,1020,5
35,94060,2020-05-06,22,56,11,1020,5
36,94060,2020-05-07,26,45,8,1014,6
37,94060,2020-05-08,26,43,5,1012,5
38,94060,2020-05-09,25,63,4,1012,6
39,94060,2020-05-10,21,69,5,1013,5
40,94060,2020-05-11,17,80,11,1014,4
41,94060,2020-05-12,17,76,10,1016,4
42,94060,2020-05-13,17,78,6,1018,4
43,94060,2020-05-14,19,77,6,1019,4
44,94060,2020-05-15,19,69,11,1016,5
45,94060,2020-05-16,20,68,7,1013,5
46,94060,2020-05-17,17,85,13,1011,4
47,94060,2020-05-18,16,76,12,1013,3
48,94060,2020-05-19,17,74,10,1017,5
49,94060,2020-05-20,17,75,12,1019,4
50,94060,2020-05-21,20,70,9,1016,5
51,94060,2020-05-22,19,65,13,1013,4
52,94060,2020-05-23,21,59,9,1014,5
53,94060,2020-05-24,25,52,5,1014,6
54,94060,2020-05-25,29,46,5,1012,7
55,94060,2020-05-26,32,51,4,1011,7
56,94060,2020-05-27,30,52,6,1012,7
57,94060,2020-05-28,29,59,5,1012,7
58,94060,2020-05-29,21,78,10,1012,5
59,94060,2020-05-30,18,83,11,1014,4
60,94060,2020-05-31,20,80,7,1015,5
