,location,date_time,tempC,humidity,windspeedKmph,pressure,uvIndex
0,48134,2020-04-01,7,86,9,1016,2
1,48134,2020-04-02,9,77,10,1020,3
2,48134,2020-04-03,10,69,9,1019,3
3,48134,2020-04-04,10,79,7,1017,2
4,48134,2020-04-05,9,75,12,1021,2
5,48134,2020-04-06,9,58,10,1020,2
6,48134,2020-04-07,15,86,10,1008,3
7,48134,2020-04-08,16,78,15,1003,4
8,48134,2020-04-09,8,66,30,1002,2
9,48134,2020-04-10,7,63,31,1011,1
10,48134,2020-04-11,11,63,16,1015,3
11,48134,2020-04-12,14,83,19,1008,3
12,48134,2020-04-13,11,78,30,1003,2
13,48134,2020-04-14,5,52,23,1020,1
14,48134,2020-04-15,4,62,17,1017,1
15,48134,2020-04-16,6,52,21,1024,1
16,48134,2020-04-17,3,78,15,1019,1
17,48134,2020-04-18,10,79,21,1014,3
18,48134,2020-04-19,10,78,24,1009,2
19,48134,2020-04-20,11,62,18,1007,3
20,48134,2020-04-21,5,60,36,1008,1
21,48134,2020-04-22,6,61,13,1017,1
22,48134,2020-04-23,8,92,25,1010,2
23,48134,2020-04-24,11,85,10,1010,2
24,48134,2020-04-25,11,75,22,1014,2
25,48134,2020-04-26,12,67,28,1014,3
26,48134,2020-04-27,14,68,11,1020,3
27,48134,2020-04-28,13,91,18,1013,3
28,48134,2020-04-29,16,87,28,1002,3
29,48134,2020-04-30,12,87,16,1002,3
30,48134,2020-05-01,16,74,15,1013,3
31,48134,2020-05-02,18,78,20,1013,3
32,48134,2020-05-03,18,71,18,1011,5
33,48134,2020-05-04,11,68,18,1018,3
34,48134,2020-05-05,9,62,23,1016,2
35,48134,2020-05-06,13,55,16,1015,2
36,48134,2020-05-07,15,57,25,1013,4
37,48134,2020-05-08,7,56,24,1014,2
38,48134,2020-05-09,10,51,27,1020,2
39,48134,2020-05-10,12,72,26,1014,3
40,48134,2020-05-11,7,77,26,1019,1
41,48134,2020-05-12,12,62,18,1023,2
42,48134,2020-05-13,10,61,15,1026,3
43,48134,2020-05-14,17,86,20,1016,3
44,48134,2020-05-15,20,81,22,1011,4
45,48134,2020-05-16,15,86,22,1014,3
46,48134,2020-05-17,17,86,22,1011,4
47,48134,2020-05-18,16,97,30,1010,4
48,48134,2020-05-19,16,84,33,1016,3
49,48134,2020-05-20,13,71,23,1023,4
50,48134,2020-05-21,14,78,16,1022,3
51,48134,2020-05-22,17,93,11,1018,4
52,48134,2020-05-23,18,86,9,1016,5
53,48134,2020-05-24,24,85,17,1015,5
54,48134,2020-05-25,24,84,11,1016,5
55,48134,2020-05-26,24,82,11,1017,5
56,48134,2020-05-27,23,83,13,1016,5
57,48134,2020-05-28,21,87,15,1012,4
58,48134,2020-05-29,20,86,19,1012,4
59,48134,2020-05-30,18,75,21,1019,5
60,48134,2020-05-31,15,59,10,1026,4
