,location,date_time,tempC,humidity,windspeedKmph,pressure,uvIndex
0,48109,2020-04-01,8,82,11,1017,2
1,48109,2020-04-02,12,71,11,1020,3
2,48109,2020-04-03,15,59,9,1019,4
3,48109,2020-04-04,14,76,9,1017,2
4,48109,2020-04-05,14,64,12,1021,2
5,48109,2020-04-06,13,51,7,1020,2
6,48109,2020-04-07,18,80,8,1008,3
7,48109,2020-04-08,19,73,15,1003,5
8,48109,2020-04-09,8,64,29,1002,2
9,48109,2020-04-10,7,61,26,1011,1
10,48109,2020-04-11,12,60,13,1014,2
11,48109,2020-04-12,16,79,18,1008,3
12,48109,2020-04-13,12,76,25,1002,2
13,48109,2020-04-14,6,51,18,1020,1
14,48109,2020-04-15,5,59,13,1017,1
15,48109,2020-04-16,6,51,16,1024,1
16,48109,2020-04-17,2,78,9,1019,1
17,48109,2020-04-18,9,81,17,1013,2
18,48109,2020-04-19,12,73,22,1008,2
19,48109,2020-04-20,12,58,16,1007,2
20,48109,2020-04-21,5,61,29,1008,1
21,48109,2020-04-22,8,57,10,1017,2
22,48109,2020-04-23,10,89,17,1010,2
23,48109,2020-04-24,14,82,9,1011,2
24,48109,2020-04-25,13,62,15,1015,3
25,48109,2020-04-26,14,54,25,1015,3
26,48109,2020-04-27,15,64,11,1020,3
27,48109,2020-04-28,18,85,14,1012,3
28,48109,2020-04-29,19,86,23,1001,4
29,48109,2020-04-30,14,86,14,1001,3
30,48109,2020-05-01,16,71,14,1014,3
31,48109,2020-05-02,21,76,18,1012,4
32,48109,2020-05-03,20,70,18,1011,5
33,48109,2020-05-04,13,64,15,1018,3
34,48109,2020-05-05,11,51,14,1017,2
35,48109,2020-05-06,13,51,16,1015,3
36,48109,2020-05-07,16,56,22,1013,4
37,48109,2020-05-08,7,49,18,1014,2
38,48109,2020-05-09,10,49,21,1020,3
39,48109,2020-05-10,13,73,19,1014,3
40,48109,2020-05-11,7,79,19,1019,1
41,48109,2020-05-12,13,61,16,1023,2
42,48109,2020-05-13,12,55,9,1026,4
43,48109,2020-05-14,16,88,12,1016,3
44,48109,2020-05-15,22,79,17,1011,5
45,48109,2020-05-16,18,77,14,1014,4
46,48109,2020-05-17,18,87,20,1011,4
47,48109,2020-05-18,17,97,23,1010,4
48,48109,2020-05-19,19,79,25,1016,4
49,48109,2020-05-20,16,67,16,1024,4
50,48109,2020-05-21,19,74,11,1022,4
51,48109,2020-05-22,20,88,8,1018,4
52,48109,2020-05-23,22,82,8,1016,4
53,48109,2020-05-24,27,84,15,1014,5
54,48109,2020-05-25,27,82,10,1016,6
55,48109,2020-05-26,29,78,9,1017,6
56,48109,2020-05-27,27,80,11,1016,5
57,48109,2020-05-28,24,87,14,1012,5
58,48109,2020-05-29,19,89,14,1012,4
59,48109,2020-05-30,18,77,18,1019,4
60,48109,2020-05-31,16,62,12,1026,4
