,location,date_time,tempC,humidity,windspeedKmph,pressure,uvIndex
0,53130,2020-04-01,8,85,9,1019,2
1,53130,2020-04-02,11,69,9,1021,3
2,53130,2020-04-03,15,63,10,1018,4
3,53130,2020-04-04,10,79,17,1019,3
4,53130,2020-04-05,10,67,8,1023,3
5,53130,2020-04-06,13,67,9,1017,2
6,53130,2020-04-07,23,87,14,1006,4
7,53130,2020-04-08,19,84,15,1005,3
8,53130,2020-04-09,7,59,28,1008,1
9,53130,2020-04-10,8,59,19,1016,1
10,53130,2020-04-11,14,72,15,1011,2
11,53130,2020-04-12,14,90,11,1003,3
12,53130,2020-04-13,3,71,31,1009,1
13,53130,2020-04-14,4,51,19,1020,1
14,53130,2020-04-15,4,46,13,1019,2
15,53130,2020-04-16,6,54,13,1025,2
16,53130,2020-04-17,6,74,8,1019,1
17,53130,2020-04-18,12,75,25,1011,3
18,53130,2020-04-19,11,71,18,1009,4
19,53130,2020-04-20,13,68,19,1005,2
20,53130,2020-04-21,7,56,21,1013,2
21,53130,2020-04-22,8,85,12,1014,1
22,53130,2020-04-23,10,94,12,1007,2
23,53130,2020-04-24,9,81,12,1012,2
24,53130,2020-04-25,8,77,16,1015,2
25,53130,2020-04-26,12,67,16,1020,3
26,53130,2020-04-27,15,76,14,1017,3
27,53130,2020-04-28,18,92,11,1008,3
28,53130,2020-04-29,13,94,21,999,3
29,53130,2020-04-30,14,83,27,1007,2
30,53130,2020-05-01,16,68,9,1015,4
31,53130,2020-05-02,20,76,20,1011,4
32,53130,2020-05-03,18,69,18,1014,5
33,53130,2020-05-04,8,72,18,1021,3
34,53130,2020-05-05,9,73,16,1016,2
35,53130,2020-05-06,15,59,12,1018,4
36,53130,2020-05-07,13,64,16,1015,4
37,53130,2020-05-08,6,60,17,1018,1
38,53130,2020-05-09,12,58,16,1021,3
39,53130,2020-05-10,10,88,16,1015,2
40,53130,2020-05-11,9,76,15,1023,2
41,53130,2020-05-12,13,68,13,1023,3
42,53130,2020-05-13,14,63,16,1023,4
43,53130,2020-05-14,21,92,18,1011,4
44,53130,2020-05-15,19,80,12,1013,5
45,53130,2020-05-16,14,92,14,1012,3
46,53130,2020-05-17,19,83,15,1014,4
47,53130,2020-05-18,15,95,18,1008,3
48,53130,2020-05-19,13,95,23,1015,3
49,53130,2020-05-20,17,86,18,1021,3
50,53130,2020-05-21,18,83,14,1020,4
51,53130,2020-05-22,20,83,9,1017,4
52,53130,2020-05-23,22,87,16,1013,4
53,53130,2020-05-24,27,85,12,1012,5
54,53130,2020-05-25,28,85,14,1012,5
55,53130,2020-05-26,28,82,12,1014,6
56,53130,2020-05-27,27,81,10,1013,5
57,53130,2020-05-28,22,93,14,1010,5
58,53130,2020-05-29,19,81,17,1014,4
59,53130,2020-05-30,19,81,14,1022,4
60,53130,2020-05-31,17,71,9,1026,4
