,location,date_time,tempC,humidity,windspeedKmph,pressure,uvIndex
0,6825,2020-04-01,8,69,19,1009,2
1,6825,2020-04-02,9,72,32,1004,2
2,6825,2020-04-03,8,84,31,1004,2
3,6825,2020-04-04,9,78,19,1015,3
4,6825,2020-04-05,10,82,11,1018,2
5,6825,2020-04-06,12,60,13,1016,4
6,6825,2020-04-07,12,57,14,1011,4
7,6825,2020-04-08,11,86,11,1001,2
8,6825,2020-04-09,12,75,29,994,3
9,6825,2020-04-10,8,60,37,995,3
10,6825,2020-04-11,9,55,26,1012,3
11,6825,2020-04-12,12,66,18,1021,4
12,6825,2020-04-13,14,87,45,1009,3
13,6825,2020-04-14,10,62,16,1017,3
14,6825,2020-04-15,9,56,18,1014,2
15,6825,2020-04-16,7,53,26,1018,2
16,6825,2020-04-17,8,54,22,1022,2
17,6825,2020-04-18,7,88,19,1008,2
18,6825,2020-04-19,11,63,25,1011,3
19,6825,2020-04-20,9,70,15,1005,2
20,6825,2020-04-21,10,78,29,1002,2
21,6825,2020-04-22,8,49,32,1010,3
22,6825,2020-04-23,9,54,13,1017,2
23,6825,2020-04-24,7,92,23,1008,2
24,6825,2020-04-25,12,71,10,1017,4
25,6825,2020-04-26,9,85,28,1012,2
26,6825,2020-04-27,8,86,28,1011,2
27,6825,2020-04-28,12,70,16,1020,2
28,6825,2020-04-29,11,76,22,1024,3
29,6825,2020-04-30,13,84,36,1019,3
30,6825,2020-05-01,16,88,11,1006,3
31,6825,2020-05-02,19,59,17,1013,5
32,6825,2020-05-03,21,65,13,1007,5
33,6825,2020-05-04,16,56,21,1006,3
34,6825,2020-05-05,15,47,15,1012,4
35,6825,2020-05-06,11,67,15,1010,2
36,6825,2020-05-07,16,59,14,1008,4
37,6825,2020-05-08,11,66,13,1008,2
38,6825,2020-05-09,8,56,34,1009,2
39,6825,2020-05-10,15,52,24,1017,4
40,6825,2020-05-11,13,69,19,1011,3
41,6825,2020-05-12,12,52,22,1016,3
42,6825,2020-05-13,14,48,14,1025,4
43,6825,2020-05-14,16,52,11,1025,4
44,6825,2020-05-15,24,75,23,1013,5
45,6825,2020-05-16,24,68,9,1017,4
46,6825,2020-05-17,17,82,15,1017,3
47,6825,2020-05-18,17,70,15,1021,5
48,6825,2020-05-19,17,53,25,1024,4
49,6825,2020-05-20,15,52,17,1030,4
50,6825,2020-05-21,18,60,7,1028,5
51,6825,2020-05-22,21,76,12,1021,5
52,6825,2020-05-23,18,88,14,1018,4
53,6825,2020-05-24,17,66,17,1024,4
54,6825,2020-05-25,19,83,11,1023,4
55,6825,2020-05-26,23,80,6,1023,6
56,6825,2020-05-27,24,77,10,1023,6
57,6825,2020-05-28,21,88,14,1022,4
58,6825,2020-05-29,24,86,18,1016,5
59,6825,2020-05-30,26,68,12,1011,6
60,6825,2020-05-31,18,51,19,1017,5
