,location,date_time,tempC,humidity,windspeedKmph,pressure,uvIndex
0,10933,2020-04-01,9,75,12,1010,2
1,10933,2020-04-02,8,68,26,1008,2
2,10933,2020-04-03,10,83,19,1007,2
3,10933,2020-04-04,12,82,7,1016,2
4,10933,2020-04-05,15,84,5,1017,3
5,10933,2020-04-06,14,59,11,1017,4
6,10933,2020-04-07,16,59,8,1011,4
7,10933,2020-04-08,17,83,7,1001,3
8,10933,2020-04-09,12,77,18,994,3
9,10933,2020-04-10,7,65,26,997,1
10,10933,2020-04-11,9,58,15,1014,3
11,10933,2020-04-12,18,62,11,1019,3
12,10933,2020-04-13,19,87,30,1006,4
13,10933,2020-04-14,11,64,12,1017,2
14,10933,2020-04-15,9,56,13,1015,3
15,10933,2020-04-16,6,62,17,1019,1
16,10933,2020-04-17,8,69,11,1021,1
17,10933,2020-04-18,7,90,10,1009,1
18,10933,2020-04-19,13,68,18,1011,2
19,10933,2020-04-20,11,72,8,1005,2
20,10933,2020-04-21,13,75,16,1002,2
21,10933,2020-04-22,8,49,20,1012,2
22,10933,2020-04-23,11,61,7,1017,2
23,10933,2020-04-24,6,97,11,1009,1
24,10933,2020-04-25,16,75,5,1017,3
25,10933,2020-04-26,6,90,17,1012,2
26,10933,2020-04-27,6,94,11,1014,2
27,10933,2020-04-28,16,68,8,1020,4
28,10933,2020-04-29,11,80,15,1022,2
29,10933,2020-04-30,14,93,29,1014,3
30,10933,2020-05-01,16,89,13,1006,3
31,10933,2020-05-02,19,67,14,1014,5
32,10933,2020-05-03,22,70,13,1007,5
33,10933,2020-05-04,14,66,19,1007,3
34,10933,2020-05-05,13,59,14,1013,3
35,10933,2020-05-06,11,81,10,1010,2
36,10933,2020-05-07,15,66,13,1009,4
37,10933,2020-05-08,10,88,8,1008,2
38,10933,2020-05-09,6,64,24,1011,1
39,10933,2020-05-10,14,63,18,1017,4
40,10933,2020-05-11,13,83,14,1011,2
41,10933,2020-05-12,11,62,17,1018,3
42,10933,2020-05-13,13,59,10,1026,3
43,10933,2020-05-14,18,67,9,1024,3
44,10933,2020-05-15,23,84,20,1013,5
45,10933,2020-05-16,24,76,7,1017,4
46,10933,2020-05-17,20,83,10,1016,4
47,10933,2020-05-18,19,77,11,1021,5
48,10933,2020-05-19,17,64,16,1024,4
49,10933,2020-05-20,17,57,12,1030,4
50,10933,2020-05-21,20,62,6,1028,5
51,10933,2020-05-22,24,84,8,1021,4
52,10933,2020-05-23,19,97,8,1017,4
53,10933,2020-05-24,20,70,10,1024,5
54,10933,2020-05-25,23,82,6,1023,4
55,10933,2020-05-26,28,82,6,1022,5
56,10933,2020-05-27,26,83,8,1023,6
57,10933,2020-05-28,23,90,11,1021,5
58,10933,2020-05-29,26,90,13,1014,5
59,10933,2020-05-30,24,75,14,1012,6
60,10933,2020-05-31,16,64,16,1019,4
