,location,date_time,tempC,humidity,windspeedKmph,pressure,uvIndex
0,14511,2020-04-01,7,75,13,1014,2
1,14511,2020-04-02,5,84,19,1015,1
2,14511,2020-04-03,5,94,15,1015,1
3,14511,2020-04-04,11,91,3,1018,2
4,14511,2020-04-05,10,87,9,1018,2
5,14511,2020-04-06,12,60,7,1020,3
6,14511,2020-04-07,16,62,5,1011,3
7,14511,2020-04-08,13,88,9,1002,3
8,14511,2020-04-09,7,80,23,994,2
9,14511,2020-04-10,4,83,30,1001,1
10,14511,2020-04-11,7,66,18,1014,1
11,14511,2020-04-12,16,67,17,1015,3
12,14511,2020-04-13,18,83,31,1000,3
13,14511,2020-04-14,6,58,17,1018,1
14,14511,2020-04-15,6,61,16,1016,2
15,14511,2020-04-16,3,72,17,1021,1
16,14511,2020-04-17,5,80,9,1020,1
17,14511,2020-04-18,7,86,14,1012,1
18,14511,2020-04-19,9,86,20,1008,2
19,14511,2020-04-20,11,71,7,1008,3
20,14511,2020-04-21,7,73,26,1001,1
21,14511,2020-04-22,5,59,23,1014,1
22,14511,2020-04-23,4,78,7,1015,1
23,14511,2020-04-24,9,89,7,1010,2
24,14511,2020-04-25,13,75,7,1016,3
25,14511,2020-04-26,7,94,14,1013,2
26,14511,2020-04-27,7,93,16,1019,1
27,14511,2020-04-28,15,76,10,1019,3
28,14511,2020-04-29,16,83,27,1014,3
29,14511,2020-04-30,15,89,21,1005,3
30,14511,2020-05-01,15,86,12,1009,3
31,14511,2020-05-02,19,77,12,1014,3
32,14511,2020-05-03,20,79,16,1007,4
33,14511,2020-05-04,9,79,17,1012,2
34,14511,2020-05-05,9,60,10,1016,2
35,14511,2020-05-06,10,66,11,1012,2
36,14511,2020-05-07,13,72,16,1010,3
37,14511,2020-05-08,7,65,14,1010,2
38,14511,2020-05-09,3,68,25,1014,1
39,14511,2020-05-10,10,87,15,1015,2
40,14511,2020-05-11,6,94,14,1013,1
41,14511,2020-05-12,9,73,18,1020,2
42,14511,2020-05-13,12,69,7,1027,3
43,14511,2020-05-14,17,78,11,1021,3
44,14511,2020-05-15,19,93,21,1010,4
45,14511,2020-05-16,20,84,8,1018,4
46,14511,2020-05-17,19,92,20,1011,4
47,14511,2020-05-18,12,95,14,1020,3
48,14511,2020-05-19,19,79,13,1023,5
49,14511,2020-05-20,18,65,14,1028,5
50,14511,2020-05-21,21,66,11,1026,5
51,14511,2020-05-22,22,90,8,1019,4
52,14511,2020-05-23,21,94,8,1017,4
53,14511,2020-05-24,25,84,17,1019,6
54,14511,2020-05-25,28,84,13,1018,5
55,14511,2020-05-26,30,81,9,1020,6
56,14511,2020-05-27,27,80,13,1019,6
57,14511,2020-05-28,22,87,17,1015,5
58,14511,2020-05-29,25,87,18,1011,5
59,14511,2020-05-30,19,85,18,1015,4
60,14511,2020-05-31,13,77,14,1023,3
