,location,date_time,tempC,humidity,windspeedKmph,pressure,uvIndex
0,33548,2020-04-01,23,58,18,1011,5
1,33548,2020-04-02,26,57,10,1016,6
2,33548,2020-04-03,30,56,8,1015,6
3,33548,2020-04-04,28,61,9,1014,7
4,33548,2020-04-05,23,72,8,1016,5
5,33548,2020-04-06,25,77,17,1018,5
6,33548,2020-04-07,31,71,10,1017,7
7,33548,2020-04-08,30,74,13,1014,7
8,33548,2020-04-09,30,78,18,1011,6
9,33548,2020-04-10,30,67,16,1012,6
10,33548,2020-04-11,30,59,12,1016,7
11,33548,2020-04-12,34,68,22,1016,7
12,33548,2020-04-13,31,71,24,1016,7
13,33548,2020-04-14,33,76,17,1016,6
14,33548,2020-04-15,30,78,17,1014,6
15,33548,2020-04-16,19,86,19,1019,4
16,33548,2020-04-17,29,77,14,1020,5
17,33548,2020-04-18,29,76,13,1016,6
18,33548,2020-04-19,32,68,14,1014,7
19,33548,2020-04-20,29,75,27,1009,6
20,33548,2020-04-21,30,60,11,1014,7
21,33548,2020-04-22,30,54,14,1017,7
22,33548,2020-04-23,33,64,23,1013,7
23,33548,2020-04-24,26,83,17,1011,6
24,33548,2020-04-25,31,79,16,1013,6
25,33548,2020-04-26,30,67,14,1016,6
26,33548,2020-04-27,26,50,14,1020,6
27,33548,2020-04-28,28,61,16,1021,6
28,33548,2020-04-29,30,69,17,1016,7
29,33548,2020-04-30,26,70,19,1013,5
30,33548,2020-05-01,26,55,13,1017,6
31,33548,2020-05-02,31,48,9,1020,7
32,33548,2020-05-03,34,63,8,1019,7
33,33548,2020-05-04,30,65,9,1016,7
34,33548,2020-05-05,30,66,9,1015,7
35,33548,2020-05-06,29,68,15,1014,7
36,33548,2020-05-07,24,46,18,1018,6
37,33548,2020-05-08,28,54,14,1018,6
38,33548,2020-05-09,32,68,12,1018,7
39,33548,2020-05-10,21,85,13,1019,5
40,33548,2020-05-11,30,68,13,1018,7
41,33548,2020-05-12,30,58,15,1020,7
42,33548,2020-05-13,30,66,22,1021,7
43,33548,2020-05-14,29,67,24,1020,6
44,33548,2020-05-15,30,70,21,1017,6
45,33548,2020-05-16,32,64,15,1015,7
46,33548,2020-05-17,33,65,9,1016,7
47,33548,2020-05-18,31,73,12,1013,6
48,33548,2020-05-19,30,65,16,1011,6
49,33548,2020-05-20,30,63,12,1013,7
50,33548,2020-05-21,33,69,11,1015,8
51,33548,2020-05-22,35,62,8,1017,8
52,33548,2020-05-23,34,65,13,1017,8
53,33548,2020-05-24,27,83,17,1015,5
54,33548,2020-05-25,23,89,21,1012,5
55,33548,2020-05-26,31,75,12,1011,7
56,33548,2020-05-27,32,70,11,1014,8
57,33548,2020-05-28,32,74,10,1016,6
58,33548,2020-05-29,32,73,9,1017,6
59,33548,2020-05-30,32,70,8,1016,6
60,33548,2020-05-31,33,67,9,1016,8
