,location,date_time,tempC,humidity,windspeedKmph,pressure,uvIndex
0,18331,2020-04-01,11,74,12,1010,2
1,18331,2020-04-02,9,66,22,1009,2
2,18331,2020-04-03,12,77,21,1008,2
3,18331,2020-04-04,14,80,6,1016,3
4,18331,2020-04-05,16,79,6,1018,3
5,18331,2020-04-06,16,58,9,1018,4
6,18331,2020-04-07,17,64,5,1012,4
7,18331,2020-04-08,19,78,12,1001,4
8,18331,2020-04-09,17,74,21,995,3
9,18331,2020-04-10,8,63,27,999,2
10,18331,2020-04-11,11,56,16,1015,3
11,18331,2020-04-12,18,65,11,1019,3
12,18331,2020-04-13,19,88,32,1005,4
13,18331,2020-04-14,11,62,13,1018,2
14,18331,2020-04-15,9,59,12,1016,3
15,18331,2020-04-16,7,60,15,1020,2
16,18331,2020-04-17,9,70,9,1022,2
17,18331,2020-04-18,9,84,12,1009,2
18,18331,2020-04-19,14,68,15,1011,3
19,18331,2020-04-20,14,64,9,1005,2
20,18331,2020-04-21,13,73,18,1003,3
21,18331,2020-04-22,9,50,20,1013,3
22,18331,2020-04-23,14,69,6,1016,2
23,18331,2020-04-24,7,96,12,1008,2
24,18331,2020-04-25,16,76,7,1017,3
25,18331,2020-04-26,9,92,18,1010,2
26,18331,2020-04-27,6,93,12,1014,2
27,18331,2020-04-28,16,72,8,1020,4
28,18331,2020-04-29,14,83,17,1020,3
29,18331,2020-04-30,17,90,26,1011,4
30,18331,2020-05-01,17,86,10,1007,4
31,18331,2020-05-02,19,69,13,1015,5
32,18331,2020-05-03,23,79,13,1008,5
33,18331,2020-05-04,15,72,16,1009,3
34,18331,2020-05-05,14,59,11,1014,4
35,18331,2020-05-06,10,77,13,1010,2
36,18331,2020-05-07,15,68,14,1010,4
37,18331,2020-05-08,9,88,10,1008,2
38,18331,2020-05-09,7,58,23,1014,1
39,18331,2020-05-10,13,66,17,1018,3
40,18331,2020-05-11,11,79,16,1012,3
41,18331,2020-05-12,12,63,18,1019,3
42,18331,2020-05-13,15,62,9,1026,4
43,18331,2020-05-14,18,74,10,1024,3
44,18331,2020-05-15,24,87,18,1014,5
45,18331,2020-05-16,23,75,5,1017,5
46,18331,2020-05-17,24,84,12,1015,4
47,18331,2020-05-18,20,72,15,1020,4
48,18331,2020-05-19,18,67,18,1023,5
49,18331,2020-05-20,17,58,16,1029,3
50,18331,2020-05-21,20,72,7,1028,5
51,18331,2020-05-22,20,90,4,1021,4
52,18331,2020-05-23,21,94,8,1016,4
53,18331,2020-05-24,20,79,11,1023,5
54,18331,2020-05-25,22,86,6,1023,4
55,18331,2020-05-26,27,85,5,1022,5
56,18331,2020-05-27,25,86,7,1023,5
57,18331,2020-05-28,23,93,11,1020,5
58,18331,2020-05-29,25,92,13,1014,5
59,18331,2020-05-30,24,76,12,1013,6
60,18331,2020-05-31,17,64,16,1020,4
