,location,date_time,tempC,humidity,windspeedKmph,pressure,uvIndex
0,1866,2020-04-01,6,74,17,1009,1
1,1866,2020-04-02,7,82,25,1000,2
2,1866,2020-04-03,8,86,35,1003,2
3,1866,2020-04-04,7,79,18,1016,2
4,1866,2020-04-05,11,73,8,1017,2
5,1866,2020-04-06,13,49,14,1014,4
6,1866,2020-04-07,14,45,9,1010,4
7,1866,2020-04-08,10,64,11,1002,2
8,1866,2020-04-09,11,74,23,992,2
9,1866,2020-04-10,9,54,26,989,2
10,1866,2020-04-11,10,46,22,1008,3
11,1866,2020-04-12,14,51,15,1021,4
12,1866,2020-04-13,15,83,30,1010,3
13,1866,2020-04-14,13,46,15,1015,3
14,1866,2020-04-15,10,41,11,1012,2
15,1866,2020-04-16,8,49,14,1015,2
16,1866,2020-04-17,10,39,20,1020,3
17,1866,2020-04-18,4,89,12,1009,1
18,1866,2020-04-19,15,55,19,1008,4
19,1866,2020-04-20,8,55,13,1005,2
20,1866,2020-04-21,11,58,21,1001,2
21,1866,2020-04-22,8,40,27,1006,2
22,1866,2020-04-23,13,33,16,1015,3
23,1866,2020-04-24,6,80,12,1010,2
24,1866,2020-04-25,12,67,10,1017,3
25,1866,2020-04-26,10,65,19,1017,2
26,1866,2020-04-27,6,90,31,1011,2
27,1866,2020-04-28,8,71,14,1019,2
28,1866,2020-04-29,9,70,13,1026,3
29,1866,2020-04-30,9,78,20,1025,2
30,1866,2020-05-01,17,92,11,1007,3
31,1866,2020-05-02,19,59,15,1010,5
32,1866,2020-05-03,22,67,12,1006,4
33,1866,2020-05-04,18,56,16,1003,4
34,1866,2020-05-05,15,51,16,1010,4
35,1866,2020-05-06,14,58,9,1011,4
36,1866,2020-05-07,16,61,9,1006,3
37,1866,2020-05-08,14,58,16,1006,3
38,1866,2020-05-09,7,60,24,1003,2
39,1866,2020-05-10,14,54,18,1014,4
40,1866,2020-05-11,17,78,10,1009,3
41,1866,2020-05-12,13,55,18,1012,4
42,1866,2020-05-13,14,44,15,1022,4
43,1866,2020-05-14,18,48,12,1023,4
44,1866,2020-05-15,24,81,18,1011,5
45,1866,2020-05-16,24,68,13,1017,5
46,1866,2020-05-17,15,79,10,1019,3
47,1866,2020-05-18,16,76,7,1023,3
48,1866,2020-05-19,15,55,14,1026,3
49,1866,2020-05-20,19,47,8,1031,5
50,1866,2020-05-21,23,49,11,1027,5
51,1866,2020-05-22,27,61,14,1019,6
52,1866,2020-05-23,18,68,14,1020,4
53,1866,2020-05-24,16,60,11,1026,4
54,1866,2020-05-25,22,79,6,1024,4
55,1866,2020-05-26,28,77,8,1022,5
56,1866,2020-05-27,30,65,13,1022,7
57,1866,2020-05-28,26,76,15,1021,5
58,1866,2020-05-29,29,76,19,1015,6
59,1866,2020-05-30,27,61,14,1010,6
60,1866,2020-05-31,19,45,17,1015,5
