,location,date_time,tempC,humidity,windspeedKmph,pressure,uvIndex
0,31192,2020-04-01,16,56,18,1014,4
1,31192,2020-04-02,23,52,8,1018,5
2,31192,2020-04-03,25,46,7,1016,6
3,31192,2020-04-04,27,50,5,1015,6
4,31192,2020-04-05,27,54,5,1017,6
5,31192,2020-04-06,28,63,6,1018,5
6,31192,2020-04-07,27,74,11,1016,5
7,31192,2020-04-08,28,80,13,1010,5
8,31192,2020-04-09,25,60,17,1008,5
9,31192,2020-04-10,15,38,18,1015,4
10,31192,2020-04-11,24,43,9,1018,5
11,31192,2020-04-12,18,73,15,1013,3
12,31192,2020-04-13,21,71,18,1012,5
13,31192,2020-04-14,23,58,11,1017,5
14,31192,2020-04-15,17,41,16,1018,4
15,31192,2020-04-16,25,36,8,1024,5
16,31192,2020-04-17,22,51,11,1022,4
17,31192,2020-04-18,22,56,14,1015,4
18,31192,2020-04-19,16,79,7,1012,3
19,31192,2020-04-20,22,71,12,1006,4
20,31192,2020-04-21,23,59,14,1014,5
21,31192,2020-04-22,23,49,8,1018,4
22,31192,2020-04-23,18,89,19,1010,4
23,31192,2020-04-24,24,75,11,1009,4
24,31192,2020-04-25,27,66,14,1011,6
25,31192,2020-04-26,19,64,21,1017,5
26,31192,2020-04-27,23,54,11,1022,5
27,31192,2020-04-28,25,49,9,1020,6
28,31192,2020-04-29,21,76,18,1011,4
29,31192,2020-04-30,17,72,14,1011,3
30,31192,2020-05-01,23,59,12,1017,5
31,31192,2020-05-02,28,52,7,1021,6
32,31192,2020-05-03,29,55,12,1017,6
33,31192,2020-05-04,29,69,10,1014,6
34,31192,2020-05-05,29,71,15,1011,6
35,31192,2020-05-06,21,55,20,1015,4
36,31192,2020-05-07,20,49,12,1020,5
37,31192,2020-05-08,16,68,12,1015,3
38,31192,2020-05-09,19,46,13,1022,5
39,31192,2020-05-10,24,39,8,1022,5
40,31192,2020-05-11,19,45,14,1022,5
41,31192,2020-05-12,25,45,5,1024,5
42,31192,2020-05-13,27,57,9,1024,6
43,31192,2020-05-14,28,64,13,1023,6
44,31192,2020-05-15,27,65,11,1020,6
45,31192,2020-05-16,30,64,9,1017,7
46,31192,2020-05-17,33,60,6,1016,7
47,31192,2020-05-18,27,74,14,1009,5
48,31192,2020-05-19,23,71,11,1008,5
49,31192,2020-05-20,27,74,7,1011,5
50,31192,2020-05-21,27,68,6,1016,5
51,31192,2020-05-22,30,71,9,1018,6
52,31192,2020-05-23,30,79,7,1018,5
53,31192,2020-05-24,33,66,5,1017,7
54,31192,2020-05-25,30,70,13,1017,6
55,31192,2020-05-26,20,85,16,1017,4
56,31192,2020-05-27,20,88,11,1015,5
57,31192,2020-05-28,30,75,9,1015,6
58,31192,2020-05-29,30,67,6,1016,6
59,31192,2020-05-30,30,63,11,1016,7
60,31192,2020-05-31,30,57,7,1018,7
